 Date Time CO OZ NO2 NO PM10
 02.03.13 12:00 0.04 0.24 0.10 0.02 0.03
 -------- 13:00 0.04 0.25 0.11 0.02 0.03
 -------- 14:00 0.05 0.24 0.13 0.02 0.03
 -------- 15:00 0.05 0.26 0.14 0.02 0.03
 -------- 16:00 0.04 0.28 0.11 0.01 0.02
 02.03.13 17:00 0.04 0.28 0.12 0.01 0.01
 -------- 18:00 0.04 0.28 0.14 0.01 0.02
 -------- 19:00 0.04 0.26 0.15 0.00 0.02
 -------- 20:00 0.06 0.18 0.25 0.00 0.03
 -------- 21:00 0.07 0.12 0.32 0.01 0.03
 02.03.13 22:00 0.06 0.11 0.34 0.01 0.02
 -------- 23:00 0.05 0.16 0.26 0.00 0.01
 -------- 00:00 0.05 0.13 0.29 0.01 0.01
 -------- 01:00 0.07 0.03 0.42 0.03 0.02
 -------- 02:00 0.12 ---- 0.50 0.16 0.04
 03.03.13 03:00 0.16 ---- 0.54 0.31 0.07
 -------- 04:00 0.17 ---- 0.54 0.35 0.07
 -------- 05:00 0.15 ---- 0.54 0.29 0.06
 -------- 06:00 0.14 ---- 0.53 0.28 0.07
 -------- 07:00 0.09 0.02 0.47 0.10 0.04
 03.03.13 08:00 0.05 0.08 0.36 0.01 0.02
 -------- 09:00 0.06 0.10 0.32 0.02 0.03
 -------- 10:00 0.09 0.08 0.36 0.06 0.05
 -------- 11:00 0.06 0.10 0.34 0.08 0.03
 -------- 12:00 0.07 0.11 0.34 0.07 0.06
 03.03.13 13:00 0.07 0.14 0.32 0.06 0.08
 -------- 14:00 0.06 0.21 0.21 0.03 0.04
 -------- 15:00 0.06 0.15 0.30 0.06 0.08
 -------- 16:00 0.06 0.14 0.31 0.05 0.07
 -------- 17:00 0.05 0.16 0.27 0.03 0.09
 03.03.13 18:00 0.05 0.17 0.27 0.02 0.09
 -------- 19:00 0.05 0.19 0.25 0.01 0.06
 -------- 20:00 0.06 0.19 0.25 0.01 0.05
 -------- 21:00 0.04 0.23 0.21 0.00 0.05
 -------- 22:00 0.04 0.25 0.18 0.00 0.05
 03.03.13 23:00 0.04 0.26 0.16 0.00 0.03
 -------- 00:00 0.04 0.24 0.18 0.00 0.03
 -------- 01:00 0.04 0.29 0.12 ---- 0.02
 -------- 02:00 0.03 0.29 0.11 0.00 0.03
 -------- 03:00 0.04 0.26 0.14 0.00 0.03
 04.03.13 04:00 0.04 0.28 0.13 0.00 0.03
 -------- 05:00 0.04 0.26 0.12 0.00 0.03
 -------- 06:00 0.04 0.23 0.17 0.00 0.03
 -------- 07:00 0.04 0.23 0.19 0.00 0.03
 -------- 08:00 0.06 0.20 0.21 0.01 0.03
 04.03.13 09:00 0.07 0.19 0.25 0.02 0.03
 -------- 10:00 0.06 0.23 0.21 0.02 0.04
 -------- 11:00 0.06 0.25 0.18 0.02 0.04
