 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 15.03.13 00:00 0.06 0.02 0.25 0.26 0.29 1.63 0.02 0.07
 -------- 01:00 0.06 0.02 0.46 0.30 0.24 1.61 0.01 0.07
 -------- 02:00 0.06 0.01 0.31 0.28 0.20 1.61 0.01 0.08
 -------- 03:00 0.06 0.00 ---- 0.28 0.19 1.60 0.01 0.07
 -------- 04:00 0.06 ---- ---- 0.39 0.13 1.58 0.01 0.06
 15.03.13 05:00 0.06 0.00 0.12 0.35 0.16 1.60 0.01 0.06
 -------- 06:00 0.09 0.01 0.33 0.22 0.24 1.66 0.02 0.07
 -------- 07:00 0.13 0.03 0.71 0.05 0.35 1.69 0.06 0.09
 -------- 08:00 0.14 0.03 0.87 0.02 0.36 1.98 0.13 0.10
 -------- 09:00 0.14 0.02 0.38 0.05 0.36 1.88 0.10 0.08
 15.03.13 10:00 0.16 0.01 0.21 0.05 0.33 1.83 0.13 0.08
 -------- 11:00 0.13 0.03 0.58 0.09 0.27 1.88 0.10 0.09
 -------- 12:00 0.12 0.02 0.42 0.14 0.24 2.42 0.08 0.08
 -------- 13:00 0.13 0.02 0.21 0.16 0.25 1.85 0.08 0.08
 -------- 14:00 0.12 0.03 0.50 0.18 0.23 1.73 0.07 0.06
 15.03.13 15:00 0.12 0.02 0.21 0.19 0.24 1.70 0.05 0.05
 -------- 16:00 0.12 0.03 0.54 0.17 0.24 1.66 0.04 0.04
 -------- 17:00 0.11 0.01 0.25 0.16 0.26 1.64 0.04 0.02
 -------- 18:00 0.10 0.02 0.46 0.18 0.25 1.62 0.02 0.02
 -------- 19:00 0.08 0.02 0.46 0.15 0.26 1.79 0.02 0.03
 15.03.13 20:00 0.09 0.01 0.25 0.09 0.28 1.85 0.03 0.02
 -------- 21:00 0.08 0.02 0.83 0.10 0.27 1.83 0.03 0.02
 -------- 22:00 0.09 0.01 0.42 0.03 0.33 1.94 0.12 0.09
 -------- 23:00 0.07 0.01 0.33 0.16 0.24 1.61 0.04 0.02
 -------- 00:00 0.06 0.02 0.38 0.26 0.18 1.56 0.01 0.03
 16.03.13 01:00 0.06 0.01 0.38 0.33 0.13 1.55 0.01 0.03
 -------- 02:00 0.06 0.02 0.54 0.29 0.14 1.56 0.01 0.04
 -------- 03:00 0.05 0.03 0.83 0.29 0.12 1.56 0.01 0.04
 -------- 04:00 0.07 0.03 0.96 0.21 0.18 1.67 0.02 0.05
 -------- 05:00 0.09 0.04 1.21 0.09 0.27 1.85 0.03 0.06
 16.03.13 06:00 0.09 0.05 1.75 0.09 0.25 1.77 0.04 0.06
 -------- 07:00 0.07 0.06 1.83 0.14 0.20 1.64 0.02 0.09
 -------- 08:00 0.06 0.05 1.63 0.13 0.20 1.63 0.03 0.09
 -------- 09:00 0.05 0.05 1.58 0.13 0.20 1.61 0.04 0.12
 -------- 10:00 0.05 0.05 1.67 0.16 0.17 1.60 0.04 0.08
 16.03.13 11:00 0.04 0.04 1.38 0.23 0.14 1.56 0.03 0.10
 -------- 12:00 0.04 0.01 0.50 0.26 0.13 1.56 0.04 0.15
 -------- 13:00 0.05 0.01 0.25 0.34 0.16 1.61 0.05 0.04
 -------- 14:00 0.05 0.05 1.38 0.46 0.15 1.60 0.05 0.04
 -------- 15:00 0.04 0.06 1.88 0.49 0.14 1.62 0.03 0.02
 16.03.13 16:00 0.03 0.09 2.38 0.47 0.13 1.63 0.02 0.05
 -------- 17:00 0.03 0.10 2.88 0.44 0.13 1.64 0.01 0.03
 -------- 18:00 0.03 0.08 2.46 0.38 0.17 1.65 0.01 0.04
 -------- 19:00 0.04 0.10 2.96 0.39 0.16 1.63 0.01 0.04
 -------- 20:00 0.04 0.08 2.38 0.39 0.14 1.62 0.01 0.04
 16.03.13 21:00 0.05 0.07 2.12 0.36 0.17 1.62 0.01 0.04
 -------- 22:00 0.04 0.08 2.29 0.35 0.16 1.62 0.01 0.04
 -------- 23:00 0.05 0.07 2.00 0.31 0.17 1.64 0.01 0.03
