 Date Time CO H2S OZ NO2 CHX NO PM10
 09.10.12 00:00 0.06 0.21 0.05 0.21 1.56 0.01 0.02
 -------- 01:00 0.05 0.17 0.05 0.21 1.56 0.01 0.01
 -------- 02:00 0.04 0.12 0.08 0.18 1.53 0.00 0.01
 -------- 03:00 0.04 0.21 0.10 0.15 1.53 0.00 0.01
 -------- 04:00 0.04 0.25 0.09 0.16 1.64 0.00 0.01
 09.10.12 05:00 0.04 0.17 0.09 0.16 1.66 0.00 0.01
 -------- 06:00 0.04 0.12 0.08 0.17 1.58 0.00 0.01
 -------- 07:00 0.04 0.17 0.04 0.22 1.58 0.01 0.02
 -------- 08:00 0.04 0.25 0.06 0.22 1.59 0.02 0.02
 -------- 09:00 0.04 0.25 0.08 0.22 1.57 0.02 0.02
 09.10.12 10:00 0.06 0.25 0.06 0.23 1.61 0.03 0.03
 -------- 11:00 0.06 0.25 0.05 0.26 1.62 0.05 0.05
 -------- 12:00 0.07 0.29 0.04 0.26 1.61 0.06 0.05
 -------- 13:00 0.08 0.25 0.04 0.26 1.62 0.06 0.04
 -------- 14:00 0.05 0.25 0.06 0.24 1.62 0.05 ----
 09.10.12 15:00 0.04 0.25 0.09 0.23 1.65 0.04 ----
 -------- 16:00 0.04 0.25 0.08 0.25 1.62 0.04 ----
 -------- 17:00 0.05 0.25 0.07 0.24 1.58 0.02 ----
 -------- 18:00 0.05 0.25 0.07 0.23 1.54 0.02 ----
 -------- 19:00 0.06 0.25 0.04 0.25 1.56 0.02 ----
 09.10.12 20:00 0.05 0.12 0.10 0.19 1.52 0.01 ----
 -------- 21:00 0.04 0.12 0.15 0.15 1.51 0.00 ----
 -------- 22:00 0.04 0.17 0.13 0.16 1.53 0.00 ----
 -------- 23:00 0.04 0.12 0.11 0.18 1.53 0.00 ----
 -------- 00:00 0.04 0.25 0.08 0.21 1.54 0.01 ----
 10.10.12 01:00 0.03 0.17 0.17 0.12 1.51 0.00 ----
 -------- 02:00 0.02 0.12 0.18 0.11 1.51 ---- ----
 -------- 03:00 0.02 0.12 0.17 0.11 1.51 0.00 ----
 -------- 04:00 0.03 0.21 0.17 0.11 1.54 0.00 ----
 -------- 05:00 0.03 0.42 0.12 0.17 1.60 0.00 ----
 10.10.12 06:00 0.04 0.50 0.06 0.20 1.63 0.01 ----
 -------- 07:00 0.03 0.33 0.08 0.20 1.57 0.01 ----
 -------- 08:00 0.05 0.25 0.06 0.22 1.59 0.02 ----
 -------- 09:00 0.07 0.33 0.06 0.22 1.61 0.06 ----
 -------- 10:00 0.07 0.38 0.04 0.21 1.61 0.08 ----
 10.10.12 11:00 0.08 0.38 0.03 0.20 1.60 0.09 ----
 -------- 12:00 0.09 0.38 0.03 0.19 1.61 0.10 ----
 -------- 13:00 0.09 0.38 0.05 0.17 1.59 0.09 ----
 -------- 14:00 0.07 0.33 0.07 0.18 1.56 0.06 ----
 -------- 15:00 0.07 0.33 0.08 0.19 1.53 0.05 ----
 10.10.12 16:00 0.05 0.29 0.11 0.21 1.53 0.04 ----
 -------- 17:00 0.09 0.38 0.05 0.21 1.56 0.07 ----
 -------- 18:00 0.08 0.38 0.06 0.23 1.55 0.05 ----
 -------- 19:00 0.10 0.33 0.06 0.26 1.55 0.04 ----
 -------- 20:00 0.11 0.25 0.07 0.25 1.54 0.03 ----
 10.10.12 21:00 0.10 0.25 0.11 0.21 1.55 0.02 ----
 -------- 22:00 0.09 0.21 0.12 0.19 1.53 0.02 ----
 -------- 23:00 0.08 0.12 0.13 0.15 1.54 0.01 ----
