 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 10.12.12 00:00 0.24 0.01 0.25 0.01 0.07 2.21 0.61 ----
 -------- 01:00 0.17 0.06 0.25 0.01 0.14 2.05 0.42 ----
 -------- 02:00 0.11 0.02 0.25 0.01 0.20 1.88 0.21 ----
 -------- 03:00 0.10 0.03 0.42 0.01 0.20 1.91 0.24 ----
 -------- 04:00 0.12 0.05 0.62 0.01 0.18 2.25 0.35 ----
 10.12.12 05:00 0.12 0.03 2.58 0.01 0.20 2.28 0.25 ----
 -------- 06:00 0.11 0.31 1.96 0.02 0.21 2.59 0.24 ----
 -------- 07:00 0.08 0.18 0.58 0.01 0.19 1.93 0.15 ----
 -------- 08:00 0.06 0.04 0.25 0.03 0.18 1.63 0.05 ----
 -------- 09:00 0.06 0.02 0.17 0.03 0.17 1.60 0.05 ----
 10.12.12 10:00 0.07 0.05 0.29 0.01 0.13 1.72 0.18 ----
 -------- 11:00 0.07 0.14 0.75 0.02 0.18 1.81 0.13 ----
 -------- 12:00 0.08 0.15 0.46 0.02 0.17 1.87 0.13 ----
 -------- 13:00 0.09 0.22 0.12 0.03 0.16 1.99 0.14 ----
 -------- 14:00 0.09 0.11 ---- 0.02 0.13 1.82 0.17 ----
 10.12.12 15:00 0.10 0.06 0.25 0.01 0.10 5.68 0.29 ----
 -------- 16:00 0.07 0.11 0.25 0.01 0.14 4.90 0.26 ----
 -------- 17:00 0.07 0.30 0.54 0.01 0.18 1.87 0.13 ----
 -------- 18:00 0.07 0.23 0.88 0.01 0.14 1.85 0.18 ----
 -------- 19:00 0.07 0.14 1.00 0.01 0.10 1.76 0.23 ----
 10.12.12 20:00 0.06 0.06 0.88 0.03 0.14 1.62 0.07 ----
 -------- 21:00 0.05 0.05 0.92 0.19 0.12 1.56 0.02 ----
 -------- 22:00 0.04 0.06 1.00 0.26 0.10 1.54 0.02 ----
 -------- 23:00 0.04 0.05 1.04 0.31 0.08 1.54 0.01 ----
 -------- 00:00 0.04 0.03 0.88 0.34 0.07 1.53 0.01 ----
 11.12.12 01:00 0.02 0.02 ---- 0.36 0.05 1.53 0.01 ----
 -------- 02:00 0.02 0.02 ---- 0.37 0.05 1.51 0.00 ----
 -------- 03:00 0.02 0.02 ---- 0.39 0.05 1.50 0.00 ----
 -------- 04:00 0.02 0.01 ---- 0.43 0.05 1.48 0.01 ----
 -------- 05:00 0.02 0.01 ---- 0.42 0.06 1.49 0.01 ----
 11.12.12 06:00 0.04 0.01 ---- 0.39 0.07 1.49 0.01 ----
 -------- 07:00 0.05 0.01 ---- 0.33 0.08 1.51 0.02 ----
 -------- 08:00 0.04 0.01 ---- 0.40 0.09 1.50 0.02 ----
 -------- 09:00 0.04 0.01 ---- 0.40 0.08 1.49 0.02 ----
 -------- 10:00 0.04 0.01 ---- 0.40 0.08 1.50 0.01 ----
 11.12.12 11:00 0.04 ---- ---- 0.37 0.10 1.51 0.02 ----
 -------- 12:00 0.05 0.01 ---- 0.30 0.16 1.52 0.02 ----
 -------- 13:00 0.06 0.00 ---- 0.26 0.17 1.53 0.02 ----
 -------- 14:00 0.06 0.00 ---- 0.24 0.18 1.57 0.03 ----
 -------- 15:00 0.05 ---- ---- 0.24 0.18 1.83 0.03 ----
 11.12.12 16:00 0.05 ---- ---- 0.24 0.16 1.59 0.03 ----
 -------- 17:00 0.04 ---- ---- 0.29 0.13 1.56 0.03 ----
 -------- 18:00 0.04 ---- ---- 0.31 0.14 1.54 0.02 0.68
 -------- 19:00 0.05 ---- ---- 0.18 0.21 1.56 0.03 0.47
 -------- 20:00 0.06 ---- ---- 0.14 0.20 1.59 0.03 0.28
 11.12.12 21:00 0.06 0.00 ---- 0.11 0.21 1.61 0.03 0.19
 -------- 22:00 0.07 0.00 ---- 0.09 0.21 1.61 0.03 0.16
 -------- 23:00 0.06 0.01 ---- 0.09 0.23 1.61 0.03 0.14
