 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 17.12.12 12:00 0.18 0.04 0.33 0.05 0.26 1.97 0.34 0.14
 -------- 13:00 0.16 0.04 0.25 0.06 0.28 1.81 0.30 0.11
 -------- 14:00 0.11 0.03 0.29 0.10 0.31 1.83 0.17 0.10
 -------- 15:00 0.10 0.03 0.25 0.09 0.30 1.99 0.14 0.08
 -------- 16:00 0.10 0.03 0.25 0.05 0.32 1.79 0.12 0.08
 17.12.12 17:00 0.10 0.03 0.25 0.02 0.34 1.86 0.12 0.09
 -------- 18:00 0.10 0.02 0.29 0.02 0.33 1.95 0.12 0.09
 -------- 19:00 0.11 0.03 0.21 0.02 0.32 1.89 0.09 0.08
 -------- 20:00 0.12 0.11 0.25 0.05 0.30 1.69 0.04 0.07
 -------- 21:00 0.12 0.42 1.21 0.03 0.30 1.80 0.08 0.09
 17.12.12 22:00 0.13 0.18 0.33 0.02 0.23 1.83 0.21 0.10
 -------- 23:00 0.13 0.09 0.12 0.01 0.20 1.77 0.27 0.11
 -------- 00:00 0.12 0.10 0.25 0.02 0.26 1.85 0.11 0.09
 -------- 01:00 0.12 0.23 0.67 0.03 0.28 1.82 0.05 0.09
 -------- 02:00 0.11 0.26 0.92 0.03 0.28 1.85 0.05 0.10
 18.12.12 03:00 0.10 0.09 0.54 0.04 0.24 1.68 0.09 0.08
 -------- 04:00 0.10 0.05 0.33 0.04 0.23 1.62 0.06 0.07
 -------- 05:00 0.11 0.15 0.62 0.04 0.25 1.82 0.08 0.09
 -------- 06:00 0.11 0.18 0.62 0.05 0.24 1.81 0.08 0.10
 -------- 07:00 0.06 0.03 0.17 0.08 0.20 1.62 0.04 0.06
 18.12.12 08:00 0.05 0.02 0.12 0.09 0.20 1.62 0.05 0.06
 -------- 09:00 0.05 0.03 0.46 0.08 0.21 1.60 0.05 0.07
 -------- 10:00 0.05 0.03 0.33 0.07 0.19 1.61 0.06 0.07
 -------- 11:00 0.05 0.03 0.25 0.10 0.16 1.61 0.07 0.06
 -------- 12:00 0.05 0.03 0.21 0.10 0.16 1.65 0.10 0.07
 18.12.12 13:00 0.05 0.03 0.25 0.10 0.16 1.66 0.10 0.07
 -------- 14:00 0.07 0.03 0.25 0.09 0.16 1.68 0.11 0.08
 -------- 15:00 0.04 0.03 0.25 0.08 0.18 1.63 0.12 0.06
 -------- 16:00 0.07 0.03 0.29 0.04 0.19 1.65 0.22 0.06
 -------- 17:00 0.05 0.03 0.25 0.04 0.23 1.67 0.14 0.07
 18.12.12 18:00 0.06 0.04 0.25 0.05 0.21 1.61 0.16 0.07
 -------- 19:00 0.11 0.03 0.25 0.03 0.20 1.66 0.23 0.07
 -------- 20:00 0.09 0.02 0.17 0.07 0.20 1.61 0.07 0.06
 -------- 21:00 0.09 0.01 0.12 0.10 0.18 1.64 0.05 0.06
 -------- 22:00 0.09 0.01 0.12 0.11 0.18 1.67 0.06 0.05
 18.12.12 23:00 0.07 0.01 0.12 0.12 0.16 1.62 0.04 0.03
 -------- 00:00 0.06 0.01 ---- 0.14 0.17 1.58 0.02 0.03
 -------- 01:00 0.06 0.01 ---- 0.14 0.17 1.55 0.01 0.03
 -------- 02:00 0.06 0.02 ---- 0.16 0.15 1.55 0.01 0.03
 -------- 03:00 0.06 0.02 ---- 0.12 0.17 1.57 0.02 0.03
 19.12.12 04:00 0.06 0.02 ---- 0.15 0.14 1.56 0.01 0.04
 -------- 05:00 0.06 0.03 0.29 0.14 0.15 1.56 0.01 0.04
 -------- 06:00 0.07 0.03 0.29 0.12 0.16 1.57 0.02 0.04
 -------- 07:00 0.07 0.02 0.17 0.10 0.17 1.59 0.03 0.04
 -------- 08:00 0.06 0.02 0.12 0.08 0.19 1.60 0.05 0.05
 19.12.12 09:00 0.06 0.02 ---- 0.06 0.20 1.59 0.05 0.05
 -------- 10:00 0.06 0.02 ---- 0.06 0.21 1.60 0.07 0.05
 -------- 11:00 0.06 0.03 0.25 0.09 0.17 1.60 0.08 0.06
