 Date Time CO OZ NO2 CHX NO PM10
 08.02.13 00:00 0.04 0.33 0.09 1.55 0.01 0.04
 -------- 01:00 0.04 0.34 0.07 1.55 0.02 0.04
 -------- 02:00 0.02 0.36 0.06 1.54 0.01 0.05
 -------- 03:00 0.03 0.39 0.04 1.54 0.01 0.04
 -------- 04:00 0.04 0.38 0.05 1.54 0.01 0.04
 08.02.13 05:00 0.04 0.37 0.06 1.54 0.01 0.05
 -------- 06:00 0.04 0.32 0.09 1.55 0.01 0.04
 -------- 07:00 0.05 0.28 0.11 1.57 0.02 0.05
 -------- 08:00 0.05 0.25 0.11 1.58 0.02 0.05
 -------- 09:00 0.06 0.23 0.13 1.57 0.03 0.05
 08.02.13 10:00 0.05 0.23 0.12 1.57 0.03 0.05
 -------- 11:00 0.05 0.23 0.12 1.57 0.03 0.04
 -------- 12:00 0.04 0.25 0.11 1.59 0.04 0.04
 -------- 13:00 0.05 0.24 0.10 1.59 0.03 0.04
 -------- 14:00 0.05 0.26 0.09 1.60 0.03 0.04
 08.02.13 15:00 0.06 0.22 0.12 1.60 0.04 0.04
 -------- 16:00 0.06 0.18 0.14 1.60 0.05 0.03
 -------- 17:00 0.06 0.16 0.16 1.61 0.05 0.03
 -------- 18:00 0.07 0.14 0.18 1.61 0.04 0.03
 -------- 19:00 0.09 0.13 0.19 1.61 0.05 0.03
 08.02.13 20:00 0.09 0.17 0.16 1.59 0.03 0.03
 -------- 21:00 0.08 0.26 0.11 1.58 0.03 0.02
 -------- 22:00 0.08 0.32 0.08 1.57 0.02 0.03
 -------- 23:00 0.08 0.33 0.09 1.58 0.03 0.03
 -------- 00:00 0.08 0.36 0.06 1.58 0.02 0.03
 09.02.13 01:00 0.11 0.20 0.15 1.61 0.04 0.03
 -------- 02:00 0.08 0.34 0.07 1.58 0.02 0.03
 -------- 03:00 0.06 0.37 0.05 1.57 0.01 0.03
 -------- 04:00 0.07 0.35 0.07 1.58 0.02 0.03
 -------- 05:00 0.07 0.38 0.06 1.58 0.02 0.03
 09.02.13 06:00 0.08 0.39 0.05 1.58 0.02 0.03
 -------- 07:00 0.05 0.38 0.06 1.59 0.02 0.03
 -------- 08:00 0.05 0.36 0.07 1.63 0.02 0.03
 -------- 09:00 0.04 0.36 0.06 1.58 0.02 0.04
 -------- 10:00 0.04 0.35 0.06 1.56 0.03 0.04
 09.02.13 11:00 0.05 0.36 0.07 1.57 0.02 0.04
 -------- 12:00 0.05 0.32 0.09 1.58 0.03 0.04
 -------- 13:00 0.06 0.31 0.10 1.59 0.03 0.03
 -------- 14:00 0.06 0.28 0.12 1.59 0.04 0.04
 -------- 15:00 0.06 0.28 0.15 1.61 0.04 0.05
 09.02.13 16:00 0.07 0.34 0.12 1.60 0.03 0.06
 -------- 17:00 0.06 0.36 0.12 1.58 0.03 0.06
 -------- 18:00 0.06 0.38 0.12 1.58 0.03 0.05
 -------- 19:00 0.06 0.33 0.13 1.59 0.04 0.05
 -------- 20:00 0.04 0.37 0.12 1.58 0.03 0.05
 09.02.13 21:00 0.04 0.39 0.09 1.59 0.03 0.04
 -------- 22:00 0.04 0.40 0.07 1.58 0.02 0.04
 -------- 23:00 0.04 0.35 0.09 1.59 0.03 0.04
