 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 07.01.13 12:00 0.06 0.01 0.12 0.17 0.12 1.54 0.03 0.03
 -------- 13:00 0.06 0.01 0.12 0.16 0.11 1.53 0.03 0.03
 -------- 14:00 0.06 0.01 0.12 0.19 0.10 1.52 0.02 0.03
 -------- 15:00 0.06 0.01 0.12 0.19 0.09 1.53 0.01 0.03
 -------- 16:00 0.07 0.01 0.12 0.14 0.13 1.54 0.02 0.04
 07.01.13 17:00 0.06 0.01 0.12 0.10 0.15 1.54 0.02 0.03
 -------- 18:00 0.07 0.01 0.12 0.09 0.15 1.56 0.01 0.03
 -------- 19:00 0.06 0.00 0.12 0.10 0.15 1.56 0.01 0.03
 -------- 20:00 0.04 0.00 0.12 0.12 0.13 1.54 0.01 0.03
 -------- 21:00 0.04 0.00 0.12 0.14 0.12 1.55 0.01 0.04
 07.01.13 22:00 0.04 0.00 0.12 0.13 0.14 1.54 0.01 0.02
 -------- 23:00 0.04 0.00 0.12 0.11 0.15 1.55 0.01 0.02
 -------- 00:00 0.04 0.00 0.12 0.08 0.18 1.55 0.01 0.02
 -------- 01:00 0.04 0.01 ---- 0.10 0.15 1.55 0.01 0.02
 -------- 02:00 0.04 0.01 0.12 0.08 0.18 1.56 0.01 0.02
 08.01.13 03:00 0.04 0.01 0.12 0.09 0.17 1.56 0.01 0.03
 -------- 04:00 0.05 0.01 ---- 0.09 0.17 1.56 0.01 0.03
 -------- 05:00 0.06 0.01 0.12 0.06 0.18 1.57 0.01 0.04
 -------- 06:00 0.06 0.01 0.12 0.06 0.18 1.57 0.01 0.04
 -------- 07:00 0.05 0.01 0.12 0.03 0.19 1.58 0.02 0.03
 08.01.13 08:00 0.04 0.01 0.12 0.02 0.20 1.60 0.03 0.03
 -------- 09:00 0.05 0.01 ---- 0.01 0.20 1.62 0.05 0.04
 -------- 10:00 0.06 0.01 0.12 0.02 0.19 1.71 0.07 0.05
 -------- 11:00 0.06 0.01 0.12 0.05 0.17 1.76 0.09 0.05
 -------- 12:00 0.06 0.01 0.12 0.06 0.16 1.73 0.11 0.05
 08.01.13 13:00 0.07 0.01 0.12 0.07 0.15 1.73 0.11 0.04
 -------- 14:00 0.07 0.01 0.12 0.06 0.16 1.72 0.12 0.05
 -------- 15:00 0.07 0.01 0.12 0.05 0.17 1.70 0.11 0.05
 -------- 16:00 0.06 0.01 0.12 0.03 0.18 1.73 0.08 0.05
 -------- 17:00 0.05 0.01 0.12 0.05 0.19 1.62 0.03 0.03
 08.01.13 18:00 0.04 0.01 0.12 0.07 0.19 1.59 0.02 0.03
 -------- 19:00 0.06 0.01 0.12 0.04 0.19 1.62 0.02 0.03
 -------- 20:00 0.05 0.01 0.12 0.11 0.17 1.59 0.01 0.03
 -------- 21:00 0.04 0.01 ---- 0.14 0.15 1.58 0.01 0.03
 -------- 22:00 0.04 0.01 ---- 0.15 0.17 1.58 0.01 0.03
 08.01.13 23:00 0.04 0.01 ---- 0.11 0.19 1.58 0.02 0.03
 -------- 00:00 0.03 0.01 0.12 0.14 0.17 1.60 0.01 0.03
 -------- 01:00 0.03 0.01 0.12 0.14 0.17 1.61 0.01 0.03
 -------- 02:00 0.02 0.01 0.21 0.15 0.16 1.59 0.01 0.03
 -------- 03:00 0.02 0.01 0.21 0.09 0.21 1.61 0.01 0.03
 09.01.13 04:00 0.02 0.01 0.21 0.09 0.22 1.61 0.01 0.03
 -------- 05:00 0.02 0.01 0.21 0.07 0.23 1.61 0.01 0.03
 -------- 06:00 0.04 0.01 0.12 0.06 0.22 1.62 0.01 0.03
 -------- 07:00 0.05 0.01 0.25 0.06 0.22 1.62 0.02 0.03
 -------- 08:00 0.07 0.01 0.12 0.03 0.24 1.65 0.02 0.03
 09.01.13 09:00 0.07 0.00 0.12 0.04 0.24 1.65 0.03 0.03
 -------- 10:00 0.08 0.01 0.12 0.04 0.24 1.68 0.04 0.04
 -------- 11:00 0.08 0.01 0.12 0.06 0.24 1.67 0.06 0.04
