 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 24.12.12 00:00 0.13 0.01 0.25 0.02 0.34 1.72 0.16 0.10
 -------- 01:00 0.20 0.01 ---- 0.01 0.33 1.77 0.19 0.17
 -------- 02:00 0.32 0.01 ---- 0.01 0.33 2.05 0.21 0.34
 -------- 03:00 0.34 0.01 0.12 0.02 0.33 2.92 0.21 0.36
 -------- 04:00 0.41 0.03 0.21 0.01 0.35 2.41 0.17 0.55
 24.12.12 05:00 0.47 0.03 1.08 0.02 0.35 2.65 0.22 0.64
 -------- 06:00 0.19 0.02 0.54 0.02 0.33 2.15 0.30 0.19
 -------- 07:00 0.18 0.01 ---- 0.02 0.28 2.10 0.38 0.11
 -------- 08:00 0.20 0.01 ---- 0.02 0.28 2.22 0.34 0.12
 -------- 09:00 0.23 0.01 0.25 0.02 0.27 2.29 0.45 0.13
 24.12.12 10:00 0.24 0.02 0.29 0.03 0.26 2.39 0.48 0.15
 -------- 11:00 0.20 0.01 0.12 0.04 0.28 2.25 0.38 0.17
 -------- 12:00 0.16 0.01 ---- 0.06 0.28 2.13 0.26 0.14
 -------- 13:00 0.15 0.02 0.25 0.11 0.27 1.86 0.17 0.11
 -------- 14:00 0.13 0.01 0.17 0.10 0.27 1.79 0.15 0.10
 24.12.12 15:00 0.09 0.01 ---- 0.12 0.28 1.70 0.10 0.08
 -------- 16:00 0.13 0.08 0.12 0.06 0.32 1.79 0.15 0.11
 -------- 17:00 0.14 0.08 0.12 0.03 0.33 1.82 0.20 0.16
 -------- 18:00 0.13 0.05 ---- 0.02 0.32 1.80 0.18 0.12
 -------- 19:00 0.11 0.06 0.29 0.02 0.31 1.82 0.17 0.10
 24.12.12 20:00 0.11 0.04 0.12 0.02 0.31 1.78 0.16 0.11
 -------- 21:00 0.12 0.03 ---- 0.02 0.31 1.76 0.13 0.11
 -------- 22:00 0.11 0.02 ---- 0.02 0.32 1.74 0.12 0.10
 -------- 23:00 0.08 0.02 0.19 0.02 0.34 1.74 0.09 0.10
 -------- 00:00 0.07 0.02 0.17 0.05 0.31 1.70 0.04 0.07
 25.12.12 01:00 0.06 0.01 0.19 0.08 0.29 1.66 0.02 0.06
 -------- 02:00 0.06 0.01 ---- 0.12 0.26 1.65 0.01 0.05
 -------- 03:00 0.04 0.02 0.29 0.19 0.20 1.61 0.01 0.05
 -------- 04:00 0.04 0.01 0.21 0.24 0.16 1.58 0.01 0.04
 -------- 05:00 0.04 0.01 0.12 0.22 0.17 1.58 0.01 0.04
 25.12.12 06:00 0.07 0.01 ---- 0.19 0.19 1.60 0.01 0.05
 -------- 07:00 0.07 0.00 ---- 0.16 0.20 1.61 0.02 0.05
 -------- 08:00 0.09 0.00 ---- 0.09 0.25 1.63 0.04 0.06
 -------- 09:00 0.10 0.02 0.29 0.05 0.29 1.63 0.07 0.06
 -------- 10:00 0.09 0.03 0.17 0.08 0.26 1.61 0.06 0.06
 25.12.12 11:00 0.08 0.03 0.12 0.11 0.24 1.60 0.05 0.07
 -------- 12:00 0.10 0.03 0.12 0.13 0.23 1.59 0.07 0.07
 -------- 13:00 0.10 0.04 0.12 0.14 0.22 1.60 0.06 0.06
 -------- 14:00 0.09 0.05 0.12 0.14 0.23 1.60 0.07 0.07
 -------- 15:00 0.10 0.06 0.12 0.13 0.22 1.63 0.09 0.09
 25.12.12 16:00 0.10 0.05 0.12 0.12 0.23 1.61 0.08 0.08
 -------- 17:00 0.11 0.05 0.17 0.11 0.23 1.62 0.08 0.10
 -------- 18:00 0.09 0.05 0.21 0.11 0.22 1.62 0.05 0.09
 -------- 19:00 0.09 0.05 0.25 0.09 0.24 1.63 0.04 0.09
 -------- 20:00 0.09 0.05 0.25 0.09 0.23 1.62 0.04 0.10
 25.12.12 21:00 0.09 0.05 0.29 0.08 0.23 1.64 0.04 0.11
 -------- 22:00 0.08 0.05 0.38 0.07 0.25 1.64 0.03 0.11
 -------- 23:00 0.08 0.05 0.42 0.07 0.24 1.65 0.03 0.12
