 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 27.02.13 12:00 0.07 0.02 0.25 0.30 0.24 1.57 0.03 0.08
 -------- 13:00 0.06 0.01 0.29 0.31 0.22 1.55 0.02 0.05
 -------- 14:00 0.06 0.02 0.25 0.28 0.22 1.54 0.03 0.05
 -------- 15:00 0.06 0.01 0.25 0.26 0.23 1.53 0.03 0.03
 -------- 16:00 0.07 0.00 ---- 0.18 0.27 1.57 0.03 0.05
 27.02.13 17:00 0.06 0.02 0.29 0.37 0.19 1.53 0.02 0.01
 -------- 18:00 0.07 0.03 0.54 0.32 0.23 1.54 0.02 0.02
 -------- 19:00 0.04 0.01 0.12 0.28 0.26 1.54 0.01 0.02
 -------- 20:00 0.05 0.02 0.38 0.27 0.25 1.54 0.01 0.05
 -------- 21:00 0.05 0.02 0.54 0.21 0.29 1.57 0.01 0.05
 27.02.13 22:00 0.05 0.02 0.54 0.31 0.21 1.54 0.01 0.03
 -------- 23:00 0.09 0.03 0.88 0.09 0.32 1.62 0.12 0.11
 -------- 00:00 0.11 0.04 0.75 0.02 0.36 1.76 0.16 0.17
 -------- 01:00 0.06 0.01 ---- 0.03 0.37 1.64 0.04 0.08
 -------- 02:00 0.06 ---- ---- 0.02 0.37 1.63 0.03 0.08
 28.02.13 03:00 0.03 0.00 ---- 0.27 0.17 1.57 0.01 0.05
 -------- 04:00 0.02 ---- ---- 0.39 0.10 1.51 0.01 0.02
 -------- 05:00 0.02 ---- ---- 0.44 0.10 1.48 0.01 0.02
 -------- 06:00 0.02 0.00 ---- 0.40 0.13 1.52 0.01 0.01
 -------- 07:00 0.05 ---- ---- 0.36 0.15 1.52 0.01 0.02
 28.02.13 08:00 0.06 0.00 ---- 0.35 0.17 1.52 0.01 0.02
 -------- 09:00 0.06 ---- ---- 0.33 0.17 1.50 0.01 0.02
 -------- 10:00 0.06 0.00 ---- 0.33 0.17 1.52 0.01 0.03
 -------- 11:00 0.06 ---- ---- 0.33 0.17 1.53 0.01 0.02
 -------- 12:00 0.06 ---- ---- 0.34 0.17 1.51 0.01 0.02
 28.02.13 13:00 0.06 0.00 ---- 0.31 0.19 1.53 0.01 0.02
 -------- 14:00 0.06 ---- ---- 0.30 0.20 1.53 0.02 0.02
 -------- 15:00 0.06 0.00 ---- 0.33 0.18 1.55 0.02 0.02
 -------- 16:00 0.06 ---- ---- 0.32 0.19 1.54 0.02 0.02
 -------- 17:00 0.07 0.00 ---- 0.24 0.25 1.58 0.02 0.03
 28.02.13 18:00 0.07 0.00 0.19 0.24 0.25 1.61 0.02 0.02
 -------- 19:00 0.03 ---- ---- 0.25 0.25 1.59 0.01 0.03
 -------- 20:00 0.03 ---- ---- 0.26 0.24 1.54 0.01 0.02
 -------- 21:00 0.03 0.00 ---- 0.26 0.25 1.56 0.01 0.03
 -------- 22:00 0.04 0.00 0.25 0.21 0.26 1.60 0.01 0.03
 28.02.13 23:00 0.04 0.01 0.38 0.16 0.29 1.64 0.01 0.03
 -------- 00:00 0.03 0.01 0.25 0.25 0.23 1.54 0.01 0.03
 -------- 01:00 0.02 0.00 ---- 0.30 0.20 1.52 0.01 0.02
 -------- 02:00 0.02 ---- ---- 0.30 0.18 1.51 0.01 0.01
 -------- 03:00 ---- ---- ---- 0.37 0.13 1.49 0.01 0.02
 01.03.13 04:00 ---- ---- ---- 0.42 0.10 1.50 0.01 0.02
 -------- 05:00 ---- ---- ---- 0.41 0.13 1.51 0.01 0.02
 -------- 06:00 0.02 ---- ---- 0.29 0.20 1.52 0.01 0.02
 -------- 07:00 0.11 ---- ---- 0.27 0.22 1.59 0.01 0.02
 -------- 08:00 0.06 ---- ---- 0.32 0.18 1.53 0.01 0.02
 01.03.13 09:00 0.06 ---- ---- 0.33 0.17 1.53 0.01 0.02
 -------- 10:00 0.06 ---- ---- 0.26 0.21 1.53 0.02 0.02
 -------- 11:00 0.06 ---- ---- 0.29 0.19 1.54 0.03 0.02
