 Date Time CO H2S OZ NO2 CHX NO
 06.11.12 15:00 0.12 ---- ---- 0.21 ---- 0.01
 -------- 16:00 ---- ---- 0.14 0.18 0.56 0.01
 -------- 17:00 ---- ---- 0.13 0.18 1.57 0.01
 -------- 18:00 ---- 0.42 0.08 0.28 1.76 0.01
 -------- 19:00 ---- 1.12 0.08 0.27 1.71 0.01
 06.11.12 20:00 ---- 1.71 0.12 0.19 1.72 0.01
 -------- 21:00 ---- 2.08 0.15 0.14 1.70 0.01
 -------- 22:00 ---- 2.25 0.15 0.13 1.72 0.01
 -------- 23:00 ---- 2.33 0.17 0.12 1.71 0.01
 -------- 00:00 ---- 2.08 0.17 0.12 1.69 0.01
 07.11.12 01:00 ---- 1.38 0.17 0.11 1.67 0.00
 -------- 02:00 ---- 1.17 0.21 0.08 1.67 0.00
 -------- 03:00 ---- 1.21 0.21 0.07 1.67 0.00
 -------- 04:00 ---- 1.21 0.20 0.08 1.66 0.00
 -------- 05:00 ---- 1.25 0.20 0.07 1.66 0.00
 07.11.12 06:00 ---- 1.25 0.18 0.11 1.67 0.00
 -------- 07:00 ---- 1.33 0.17 0.13 1.67 0.01
 -------- 08:00 ---- 1.46 0.15 0.17 1.68 0.01
 -------- 09:00 ---- 1.54 0.11 0.23 1.67 0.07
 -------- 10:00 ---- 1.63 0.13 0.16 1.67 0.02
 07.11.12 11:00 ---- 1.67 0.14 0.15 1.68 0.02
