 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 22.01.13 00:00 0.08 0.02 0.25 0.04 0.33 1.60 0.03 0.04
 -------- 01:00 0.06 0.02 ---- 0.05 0.34 1.59 0.03 0.03
 -------- 02:00 0.05 0.02 ---- 0.14 0.28 1.58 0.01 0.03
 -------- 03:00 0.04 0.01 ---- 0.11 0.30 1.60 0.02 0.02
 -------- 04:00 0.04 0.01 ---- 0.16 0.28 1.61 0.01 0.02
 22.01.13 05:00 0.04 0.01 ---- 0.18 0.27 1.56 0.01 0.02
 -------- 06:00 0.06 0.01 ---- 0.06 0.35 1.59 0.03 0.02
 -------- 07:00 0.03 0.00 ---- 0.02 0.37 1.62 0.07 0.04
 -------- 08:00 0.05 0.00 ---- 0.01 0.37 1.63 0.10 0.04
 -------- 09:00 0.06 ---- ---- 0.01 0.36 1.65 0.13 0.05
 22.01.13 10:00 0.06 ---- ---- 0.03 0.32 1.74 0.18 0.05
 -------- 11:00 0.06 ---- ---- 0.07 0.28 1.64 0.18 0.06
 -------- 12:00 0.06 0.01 ---- 0.11 0.26 1.66 0.19 0.05
 -------- 13:00 0.10 0.01 ---- 0.09 0.25 1.85 0.28 0.09
 -------- 14:00 0.10 0.01 0.19 0.09 0.27 1.81 0.23 0.07
 22.01.13 15:00 0.07 0.02 ---- 0.09 0.29 1.67 0.21 0.06
 -------- 16:00 0.06 0.02 0.12 0.08 0.31 1.68 0.17 0.06
 -------- 17:00 0.08 0.02 0.12 0.04 0.33 1.75 0.19 0.05
 -------- 18:00 0.07 0.02 0.12 0.01 0.35 1.69 0.17 0.05
 -------- 19:00 0.07 0.02 0.12 0.01 0.38 1.65 0.07 0.04
 22.01.13 20:00 0.06 0.02 0.25 0.02 0.38 1.67 0.06 0.03
 -------- 21:00 0.06 0.02 0.33 0.03 0.36 1.70 0.03 0.04
 -------- 22:00 0.06 0.01 0.21 0.03 0.36 1.63 0.04 0.03
 -------- 23:00 0.07 0.02 0.25 0.01 0.35 1.69 0.11 0.05
 -------- 00:00 0.05 0.01 0.21 0.02 0.36 1.70 0.05 0.04
 23.01.13 01:00 0.04 0.01 0.38 0.03 0.35 1.77 0.03 0.03
 -------- 02:00 0.05 0.01 0.38 0.01 0.35 1.72 0.06 0.04
 -------- 03:00 0.05 0.01 0.21 0.04 0.34 1.67 0.05 0.04
 -------- 04:00 0.05 0.01 0.12 0.06 0.31 1.68 0.03 0.04
 -------- 05:00 0.06 0.01 0.21 0.01 0.34 1.74 0.07 0.04
 23.01.13 06:00 0.07 0.01 0.12 0.01 0.33 1.67 0.13 0.04
 -------- 07:00 0.08 0.01 0.17 0.01 0.29 1.75 0.22 0.04
 -------- 08:00 0.12 0.01 0.17 0.01 0.28 1.81 0.30 0.06
 -------- 09:00 0.15 0.01 0.25 0.01 0.28 1.89 0.38 0.06
 -------- 10:00 0.14 0.01 0.21 0.02 0.28 1.94 0.35 0.08
 23.01.13 11:00 0.17 0.01 0.21 0.03 0.25 2.00 0.48 0.10
 -------- 12:00 0.15 0.02 0.25 0.05 0.24 1.93 0.47 0.11
 -------- 13:00 0.13 0.02 0.33 0.06 0.25 1.90 0.40 0.12
 -------- 14:00 0.11 0.02 0.29 0.09 0.24 1.86 0.26 0.08
 -------- 15:00 0.09 0.01 ---- 0.07 0.25 1.75 0.27 0.07
 23.01.13 16:00 0.09 0.01 ---- 0.05 0.28 1.74 0.22 0.08
 -------- 17:00 0.07 0.01 0.12 0.03 0.33 1.69 0.16 0.07
 -------- 18:00 0.09 0.01 ---- 0.01 0.35 1.70 0.18 0.07
 -------- 19:00 0.13 0.01 0.12 0.01 0.34 1.71 0.21 0.07
 -------- 20:00 0.14 0.01 0.21 0.01 0.34 1.74 0.20 0.06
 23.01.13 21:00 0.15 0.02 0.25 0.01 0.34 1.73 0.18 0.06
 -------- 22:00 0.08 0.02 0.21 0.06 0.34 1.55 0.02 0.02
 -------- 23:00 0.06 0.02 0.33 0.21 0.22 1.53 0.00 0.02
