 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 25.03.13 00:00 0.02 0.02 0.25 0.52 0.07 1.46 0.01 0.01
 -------- 01:00 0.02 0.01 0.25 0.50 0.07 1.47 0.01 0.01
 -------- 02:00 0.02 0.00 ---- 0.54 0.05 1.46 0.01 0.02
 -------- 03:00 0.02 0.01 0.12 0.57 0.05 1.46 0.01 0.01
 -------- 04:00 0.02 0.01 0.17 0.58 0.05 1.46 0.00 0.01
 25.03.13 05:00 0.03 0.02 0.29 0.57 0.05 1.47 0.01 0.01
 -------- 06:00 0.04 0.00 ---- 0.53 0.11 1.47 0.01 0.03
 -------- 07:00 0.04 0.01 0.12 0.49 0.11 1.47 0.01 0.01
 -------- 08:00 0.05 0.01 0.21 0.48 0.11 1.49 0.02 0.03
 -------- 09:00 0.06 0.02 0.25 0.49 0.13 1.49 0.02 0.04
 25.03.13 10:00 0.06 0.01 0.25 0.53 0.08 1.48 0.02 0.04
 -------- 11:00 0.04 0.01 ---- 0.57 0.06 1.47 0.02 0.04
 -------- 12:00 0.04 0.02 0.21 0.56 0.06 1.48 0.02 0.04
 -------- 13:00 0.05 0.01 0.12 0.55 0.08 1.48 0.02 0.02
 -------- 14:00 0.05 0.01 0.12 0.56 0.09 1.48 0.02 0.05
 25.03.13 15:00 0.06 0.01 0.25 0.54 0.10 1.49 0.02 0.04
 -------- 16:00 0.05 0.01 ---- 0.56 0.09 1.48 0.02 0.03
 -------- 17:00 0.06 0.02 0.21 0.53 0.12 1.49 0.02 0.03
 -------- 18:00 0.06 0.01 ---- 0.49 0.14 1.50 0.02 0.02
 -------- 19:00 0.08 0.01 0.12 0.47 0.16 1.50 0.01 0.02
 25.03.13 20:00 0.09 0.02 0.25 0.41 0.18 1.52 0.01 0.02
 -------- 21:00 0.09 0.00 ---- 0.32 0.23 1.59 0.01 0.02
 -------- 22:00 0.08 0.01 0.12 0.39 0.18 1.59 0.01 0.02
 -------- 23:00 0.08 0.02 0.21 0.37 0.18 1.52 0.01 0.01
 -------- 00:00 0.07 0.01 0.25 0.39 0.16 1.48 0.01 0.01
 26.03.13 01:00 0.06 0.02 0.25 0.37 0.18 1.48 0.01 0.01
 -------- 02:00 0.06 0.03 0.46 0.38 0.17 1.50 0.01 0.02
 -------- 03:00 0.06 0.03 0.54 0.43 0.13 1.49 0.01 0.01
 -------- 04:00 0.06 0.01 0.12 0.42 0.14 1.48 0.01 0.02
 -------- 05:00 0.08 0.02 0.25 0.34 0.19 1.53 0.01 0.03
 26.03.13 06:00 0.08 0.03 0.50 0.30 0.22 1.53 0.02 0.02
 -------- 07:00 0.05 0.02 0.38 0.36 0.18 1.52 0.01 0.01
 -------- 08:00 0.06 0.02 0.19 0.31 0.21 1.56 0.02 0.02
 -------- 09:00 0.06 0.03 0.42 0.37 0.16 1.53 0.03 0.02
 -------- 10:00 0.06 0.03 0.54 0.38 0.15 1.55 0.05 0.03
 26.03.13 11:00 0.06 0.02 0.25 0.35 0.16 1.56 0.06 0.03
 -------- 12:00 0.05 0.03 0.46 0.46 0.10 1.51 0.04 0.04
 -------- 13:00 0.06 0.02 0.19 0.46 0.11 1.51 0.04 0.02
 -------- 14:00 0.06 0.03 0.46 0.48 0.10 1.53 0.04 0.03
 -------- 15:00 0.05 0.02 0.12 0.52 0.10 1.50 0.03 0.03
 26.03.13 16:00 0.05 0.03 0.33 0.54 0.10 1.50 0.03 0.02
 -------- 17:00 0.05 0.02 0.25 0.42 0.12 1.49 0.02 0.02
 -------- 18:00 0.04 0.02 0.44 0.49 0.13 1.50 0.02 0.01
 -------- 19:00 0.05 0.02 0.19 0.42 0.20 1.52 0.01 0.00
 -------- 20:00 0.05 0.03 0.46 0.38 0.24 1.54 0.01 0.01
 26.03.13 21:00 0.06 0.02 0.38 0.33 0.26 1.61 0.01 0.02
 -------- 22:00 0.06 0.01 0.19 0.27 0.31 1.59 0.01 0.02
 -------- 23:00 0.06 0.02 0.33 0.25 0.33 1.59 0.01 0.03
