 Date Time CO H2S OZ NO2 CHX NO
 18.11.12 00:00 0.05 0.12 0.01 0.25 1.59 0.04
 -------- 01:00 0.04 0.12 0.03 0.21 1.61 0.01
 -------- 02:00 0.03 0.12 0.09 0.17 1.57 0.01
 -------- 03:00 0.03 0.12 0.04 0.19 1.55 0.01
 -------- 04:00 0.02 0.12 0.08 0.15 1.56 0.01
 18.11.12 05:00 0.02 0.12 0.07 0.14 1.55 0.01
 -------- 06:00 0.02 0.12 0.08 0.14 1.55 0.01
 -------- 07:00 0.02 0.12 0.12 0.13 1.53 0.01
 -------- 08:00 ---- ---- 0.16 0.10 1.53 0.01
 -------- 09:00 0.02 ---- 0.18 0.08 1.54 0.01
 18.11.12 10:00 ---- 0.12 0.16 0.11 1.54 0.01
 -------- 11:00 0.02 0.12 0.15 0.12 1.55 0.01
 -------- 12:00 0.02 0.12 0.12 0.15 1.55 0.03
 -------- 13:00 0.02 0.12 0.15 0.13 1.53 0.02
 -------- 14:00 0.03 0.12 0.11 0.16 1.55 0.04
 18.11.12 15:00 0.02 0.12 0.15 0.12 1.53 0.02
 -------- 16:00 0.02 0.12 0.13 0.14 1.53 0.03
 -------- 17:00 0.02 0.12 0.16 0.11 1.52 0.02
 -------- 18:00 0.02 0.12 0.13 0.12 1.53 0.02
 -------- 19:00 0.03 0.12 0.13 0.12 1.52 0.02
 18.11.12 20:00 0.04 0.12 0.08 0.16 1.54 0.03
 -------- 21:00 0.03 0.12 0.14 0.12 1.52 0.02
 -------- 22:00 0.02 0.12 0.14 0.12 1.51 0.02
 -------- 23:00 0.02 0.12 0.10 0.13 1.51 0.02
 -------- 00:00 ---- 0.12 0.15 0.09 1.50 0.01
 19.11.12 01:00 ---- ---- 0.18 0.06 1.50 0.01
 -------- 02:00 ---- ---- 0.15 0.07 1.50 0.00
 -------- 03:00 ---- 0.12 0.10 0.10 1.50 0.00
 -------- 04:00 ---- 0.12 0.14 0.08 1.50 0.01
 -------- 05:00 ---- 0.12 0.13 0.08 1.50 0.01
 19.11.12 06:00 ---- 0.12 0.11 0.10 1.50 0.01
 -------- 07:00 0.04 0.12 0.09 0.13 1.51 0.02
 -------- 08:00 0.07 0.17 0.04 0.18 1.54 0.05
 -------- 09:00 0.08 0.12 0.07 0.15 1.68 0.03
 -------- 10:00 0.03 0.17 0.08 0.17 1.53 0.06
 19.11.12 11:00 0.03 0.12 0.06 0.14 1.53 0.04
 -------- 12:00 0.02 0.12 0.11 0.10 1.53 0.02
 -------- 13:00 0.03 0.12 0.08 0.14 1.53 0.03
 -------- 14:00 0.03 0.21 0.06 0.16 1.53 0.08
 -------- 15:00 0.03 0.12 0.05 0.15 1.53 0.02
 19.11.12 16:00 0.04 0.12 0.04 0.16 1.53 0.03
 -------- 17:00 0.04 0.12 0.02 0.18 1.54 0.03
 -------- 18:00 0.04 0.12 0.02 0.17 1.54 0.02
 -------- 19:00 0.07 0.12 0.02 0.16 1.54 0.02
 -------- 20:00 0.08 0.12 0.01 0.16 1.55 0.02
 19.11.12 21:00 0.08 0.12 0.01 0.15 1.55 0.02
 -------- 22:00 0.07 0.12 0.01 0.14 1.55 0.02
 -------- 23:00 0.08 0.12 ---- 0.14 1.56 0.02
