 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 03.02.13 00:00 0.14 0.01 0.17 0.01 0.23 1.80 0.19 0.09
 -------- 01:00 0.12 0.01 0.25 0.02 0.24 1.71 0.08 0.12
 -------- 02:00 0.08 0.01 0.25 0.03 0.26 1.64 0.03 0.11
 -------- 03:00 0.07 0.01 0.25 0.08 0.24 1.63 0.02 0.08
 -------- 04:00 0.06 0.01 0.25 0.19 0.16 1.58 0.01 0.06
 03.02.13 05:00 0.06 0.01 0.21 0.21 0.16 1.58 0.01 0.06
 -------- 06:00 0.06 0.01 0.25 0.21 0.16 1.57 0.01 0.06
 -------- 07:00 0.03 0.01 0.21 0.27 0.13 1.55 0.01 0.04
 -------- 08:00 0.02 0.01 0.12 0.29 0.12 1.54 0.01 0.04
 -------- 09:00 0.02 0.01 0.25 0.30 0.13 1.55 0.01 0.04
 03.02.13 10:00 0.02 0.01 0.21 0.29 0.14 1.54 0.02 0.04
 -------- 11:00 0.03 0.01 0.25 0.33 0.12 1.54 0.02 0.05
 -------- 12:00 0.03 0.01 0.17 0.35 0.11 1.53 0.02 0.04
 -------- 13:00 0.03 0.01 0.17 0.40 0.10 1.53 0.02 0.03
 -------- 14:00 0.02 0.01 0.12 0.44 0.10 1.51 0.02 0.03
 03.02.13 15:00 0.02 0.01 0.12 0.42 0.10 1.52 0.01 0.03
 -------- 16:00 0.02 0.01 0.25 0.37 0.12 1.54 0.02 0.04
 -------- 17:00 0.02 0.01 0.25 0.36 0.14 1.54 0.02 0.05
 -------- 18:00 0.02 0.01 0.25 0.32 0.15 1.54 0.02 0.04
 -------- 19:00 0.03 0.01 0.25 0.28 0.18 1.54 0.02 0.04
 03.02.13 20:00 0.04 0.01 0.25 0.25 0.20 1.55 0.02 0.03
 -------- 21:00 0.04 0.01 0.21 0.23 0.21 1.58 0.02 0.04
 -------- 22:00 0.05 0.01 0.25 0.19 0.23 1.60 0.02 0.06
 -------- 23:00 0.05 0.01 0.25 0.21 0.20 1.58 0.03 0.05
 -------- 00:00 0.05 0.01 0.17 0.23 0.19 1.56 0.02 0.03
 04.02.13 01:00 0.04 0.01 0.12 0.23 0.18 1.57 0.01 0.03
 -------- 02:00 0.04 0.01 0.17 0.22 0.18 1.57 0.01 0.03
 -------- 03:00 0.04 0.01 0.17 0.22 0.17 1.57 0.01 0.04
 -------- 04:00 0.04 0.01 0.17 0.21 0.17 1.58 0.01 0.04
 -------- 05:00 0.06 0.01 0.17 0.12 0.22 1.60 0.04 0.03
 04.02.13 06:00 0.14 0.02 0.50 0.02 0.26 1.71 0.17 0.05
 -------- 07:00 0.14 0.03 0.83 0.01 0.26 1.83 0.22 0.05
 -------- 08:00 0.16 0.03 0.96 0.01 0.26 1.87 0.22 0.06
 -------- 09:00 0.13 0.04 1.04 0.01 0.27 1.72 0.12 0.05
 -------- 10:00 0.11 0.04 1.08 0.03 0.27 1.70 0.09 0.05
 04.02.13 11:00 0.15 0.04 1.25 0.01 0.25 1.83 0.24 0.06
 -------- 12:00 0.17 0.04 1.29 0.01 0.23 2.19 0.25 0.06
 -------- 13:00 0.18 0.04 1.17 0.01 0.20 2.02 0.28 0.04
 -------- 14:00 0.13 0.02 0.58 0.02 0.21 1.94 0.15 0.02
 -------- 15:00 0.11 0.02 0.62 0.02 0.20 1.78 0.12 0.03
 04.02.13 16:00 0.09 0.02 0.62 0.04 0.21 1.67 0.08 0.04
 -------- 17:00 0.08 0.02 0.58 0.05 0.23 1.67 0.06 0.05
 -------- 18:00 0.07 0.02 0.50 0.06 0.23 1.61 0.03 0.03
 -------- 19:00 0.06 0.02 0.50 0.05 0.24 1.62 0.04 0.03
