 Date Time CO H2S OZ NO2 CHX NO
 11.11.12 12:00 0.11 ---- 0.03 0.24 1.73 0.10
 -------- 13:00 0.09 ---- 0.05 0.21 1.69 0.08
 -------- 14:00 0.08 ---- 0.06 0.20 1.66 0.07
 -------- 15:00 0.07 ---- 0.06 0.19 1.64 0.05
 -------- 16:00 0.09 ---- 0.04 0.21 1.65 0.06
 11.11.12 17:00 0.09 ---- 0.02 0.23 1.66 0.06
 -------- 18:00 0.10 ---- ---- 0.24 1.69 0.08
 -------- 19:00 0.07 ---- ---- 0.23 1.67 0.06
 -------- 20:00 0.04 ---- 0.01 0.22 1.65 0.04
 -------- 21:00 0.05 ---- 0.01 0.20 1.65 0.04
 11.11.12 22:00 0.04 ---- 0.04 0.18 1.62 0.03
 -------- 23:00 0.05 ---- 0.04 0.17 1.62 0.03
 -------- 00:00 0.02 ---- 0.07 0.15 1.61 0.02
 -------- 01:00 0.02 ---- 0.08 0.14 1.59 0.01
 -------- 02:00 0.02 ---- 0.08 0.14 1.59 0.01
 12.11.12 03:00 ---- ---- 0.10 0.11 1.58 0.00
 -------- 04:00 ---- ---- 0.10 0.10 1.57 0.01
 -------- 05:00 ---- ---- 0.08 0.13 1.59 0.01
 -------- 06:00 0.03 ---- 0.03 0.17 1.60 0.02
 -------- 07:00 0.06 ---- 0.01 0.19 1.60 0.04
 12.11.12 08:00 0.09 ---- 0.01 0.20 1.62 0.05
 -------- 09:00 0.10 ---- ---- 0.20 1.62 0.07
 -------- 10:00 0.09 ---- ---- 0.19 1.62 0.06
 -------- 11:00 0.08 ---- 0.01 0.20 1.61 0.06
 -------- 12:00 0.08 ---- 0.01 0.19 1.60 0.05
 12.11.12 13:00 0.07 0.12 0.01 0.18 1.59 0.04
 -------- 14:00 0.06 ---- 0.01 0.18 1.58 0.05
 -------- 15:00 0.06 ---- ---- 0.18 1.58 0.05
 -------- 16:00 0.04 ---- 0.01 0.17 1.57 0.03
 -------- 17:00 0.06 ---- 0.01 0.17 1.58 0.03
 12.11.12 18:00 0.06 ---- ---- 0.18 1.60 0.03
 -------- 19:00 0.07 ---- ---- 0.17 1.60 0.03
 -------- 20:00 0.06 ---- ---- 0.18 1.59 0.03
 -------- 21:00 0.06 ---- ---- 0.17 1.60 0.03
 -------- 22:00 0.06 ---- ---- 0.16 1.59 0.02
 12.11.12 23:00 0.06 ---- ---- 0.16 1.58 0.02
 -------- 00:00 0.06 ---- ---- 0.16 1.59 0.01
 -------- 01:00 0.06 ---- 0.02 0.16 1.57 0.01
 -------- 02:00 0.06 ---- 0.01 0.17 1.59 0.01
 -------- 03:00 0.04 ---- 0.06 0.13 1.55 0.00
 13.11.12 04:00 0.04 ---- 0.08 0.11 1.57 0.00
 -------- 05:00 0.04 ---- 0.09 0.11 1.57 0.00
 -------- 06:00 0.04 ---- 0.10 0.13 1.57 0.01
 -------- 07:00 0.04 ---- 0.08 0.16 1.56 0.01
 -------- 08:00 0.04 ---- 0.07 0.17 1.56 0.01
 13.11.12 09:00 0.04 ---- 0.09 0.17 1.58 0.01
 -------- 10:00 0.04 ---- 0.07 0.21 1.57 0.03
 -------- 11:00 0.04 ---- 0.11 0.18 1.57 0.02
