 Date Time CO H2S OZ NO2 CHX NO
 07.11.12 00:00 ---- 2.08 0.17 0.12 1.69 0.01
 -------- 01:00 ---- 1.38 0.17 0.11 1.67 0.00
 -------- 02:00 ---- 1.17 0.21 0.08 1.67 0.00
 -------- 03:00 ---- 1.21 0.21 0.07 1.67 0.00
 -------- 04:00 ---- 1.21 0.20 0.08 1.66 0.00
 07.11.12 05:00 ---- 1.25 0.20 0.07 1.66 0.00
 -------- 06:00 ---- 1.25 0.18 0.11 1.67 0.00
 -------- 07:00 ---- 1.33 0.17 0.13 1.67 0.01
 -------- 08:00 ---- 1.46 0.15 0.17 1.68 0.01
 -------- 09:00 ---- 1.54 0.11 0.23 1.67 0.07
 07.11.12 10:00 ---- 1.63 0.13 0.16 1.67 0.02
 -------- 11:00 ---- 1.67 0.14 0.15 1.68 0.02
 -------- 12:00 ---- 1.75 0.15 0.16 1.67 0.04
 -------- 13:00 ---- 1.88 0.20 0.15 1.68 0.03
 -------- 14:00 ---- 1.88 0.21 0.13 1.65 0.01
 07.11.12 15:00 ---- 1.96 0.19 0.13 1.66 0.02
 -------- 16:00 ---- 2.12 0.13 0.19 1.67 0.03
 -------- 17:00 0.09 0.79 0.17 0.14 1.62 0.01
 -------- 18:00 0.09 0.33 0.08 0.23 1.63 0.03
 -------- 19:00 0.08 0.38 0.07 0.24 1.65 0.04
 07.11.12 20:00 0.08 0.29 0.11 0.20 1.64 0.03
 -------- 21:00 0.07 0.29 0.14 0.17 1.64 0.02
 -------- 22:00 0.06 0.25 0.15 0.14 1.63 0.02
 -------- 23:00 0.07 0.25 0.16 0.14 1.64 0.02
 -------- 00:00 0.06 0.29 0.17 0.12 1.63 0.01
 08.11.12 01:00 0.06 0.25 0.18 0.10 1.63 0.01
 -------- 02:00 0.06 0.29 0.19 0.09 1.62 0.01
 -------- 03:00 0.06 0.25 0.19 0.08 1.61 0.01
 -------- 04:00 0.06 0.29 0.17 0.09 1.61 0.00
 -------- 05:00 0.06 0.38 0.12 0.11 1.63 0.01
 08.11.12 06:00 0.06 0.33 0.10 0.13 1.65 0.01
 -------- 07:00 0.03 0.33 0.16 0.13 1.62 0.01
 -------- 08:00 0.02 0.25 0.14 0.15 1.63 0.01
 -------- 09:00 0.02 0.25 0.11 0.20 1.63 0.01
 -------- 10:00 0.02 0.33 0.10 0.22 1.65 0.06
 08.11.12 11:00 0.02 0.38 0.14 0.21 1.62 0.06
 -------- 12:00 0.02 0.38 0.13 0.21 1.62 0.07
 -------- 13:00 0.03 0.38 0.11 0.22 1.61 0.08
 -------- 14:00 0.02 0.42 0.16 0.19 1.61 0.09
 -------- 15:00 0.02 0.25 0.18 0.16 1.61 0.02
 08.11.12 16:00 0.02 0.25 0.18 0.16 1.59 0.01
 -------- 17:00 0.02 0.25 0.16 0.18 1.60 0.01
 -------- 18:00 0.02 0.25 0.10 0.23 1.61 0.01
 -------- 19:00 0.05 0.25 0.08 0.25 1.66 0.01
 -------- 20:00 0.06 0.25 0.08 0.22 1.63 0.01
 08.11.12 21:00 0.05 0.25 0.10 0.20 1.63 0.01
 -------- 22:00 0.05 0.25 0.08 0.22 1.60 0.01
 -------- 23:00 0.04 0.25 0.07 0.21 1.60 0.01
