 Date Time CO H2S OZ NO2 CHX NO
 18.10.12 00:00 0.06 ---- 0.01 0.18 1.57 0.03
 -------- 01:00 0.05 ---- 0.02 0.17 1.57 0.02
 -------- 02:00 0.04 0.12 0.05 0.15 1.55 0.01
 -------- 03:00 0.04 0.12 0.02 0.16 1.58 0.01
 -------- 04:00 0.04 0.12 0.02 0.16 1.64 0.01
 18.10.12 05:00 0.05 0.12 0.01 0.15 1.56 0.02
 -------- 06:00 0.06 0.12 0.01 0.15 1.59 0.04
 -------- 07:00 0.10 0.17 0.01 0.16 1.61 0.13
 -------- 08:00 0.14 0.25 0.01 0.16 1.63 0.13
 -------- 09:00 0.15 0.29 0.01 0.16 1.66 0.14
 18.10.12 10:00 0.15 0.25 0.01 0.17 1.64 0.14
 -------- 11:00 0.15 0.33 0.01 0.19 1.71 0.19
 -------- 12:00 0.13 0.21 0.01 0.18 1.70 0.14
