 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 06.02.13 00:00 0.06 0.02 0.25 0.22 0.20 1.58 0.01 0.08
 -------- 01:00 0.05 ---- ---- 0.24 0.18 1.55 0.01 0.07
 -------- 02:00 0.04 ---- ---- 0.31 0.13 1.53 0.01 0.06
 -------- 03:00 0.04 ---- ---- 0.35 0.11 1.51 0.00 0.06
 -------- 04:00 0.03 ---- ---- 0.37 0.11 1.50 0.01 0.06
 06.02.13 05:00 0.03 ---- ---- 0.32 0.15 1.51 0.02 0.06
 -------- 06:00 0.04 ---- ---- 0.30 0.18 1.52 0.01 0.06
 -------- 07:00 0.06 ---- ---- 0.25 0.21 1.54 0.01 0.06
 -------- 08:00 0.11 ---- ---- 0.10 0.31 1.61 0.07 0.08
 -------- 09:00 0.08 0.00 ---- 0.18 0.27 1.57 0.03 0.07
 06.02.13 10:00 0.07 0.01 0.29 0.28 0.20 1.55 0.03 0.06
 -------- 11:00 0.08 0.02 0.67 0.25 0.21 1.56 0.04 0.07
 -------- 12:00 0.09 0.03 0.88 0.21 0.24 1.59 0.07 0.08
 -------- 13:00 0.10 0.03 0.92 0.19 0.26 1.61 0.10 0.11
 -------- 14:00 0.09 0.04 1.00 0.23 0.25 1.71 0.07 0.10
 06.02.13 15:00 0.08 0.03 0.92 0.29 0.22 1.60 0.04 0.07
 -------- 16:00 0.08 0.03 0.83 0.26 0.26 1.58 0.04 0.07
 -------- 17:00 0.09 0.03 0.75 0.17 0.31 1.61 0.07 0.08
 -------- 18:00 0.12 0.02 0.67 0.10 0.32 1.65 0.08 0.07
 -------- 19:00 0.10 0.02 0.62 0.12 0.28 1.65 0.06 0.08
 06.02.13 20:00 0.09 0.02 0.50 0.13 0.25 1.65 0.06 0.08
 -------- 21:00 0.09 0.02 0.46 0.14 0.26 1.63 0.05 0.07
 -------- 22:00 0.10 0.02 0.71 0.10 0.27 1.65 0.05 0.08
 -------- 23:00 0.09 0.02 0.62 0.10 0.27 1.65 0.05 0.08
 -------- 00:00 0.07 0.01 0.33 0.13 0.27 1.63 0.03 0.08
 07.02.13 01:00 0.06 0.01 0.33 0.15 0.26 1.64 0.02 0.10
 -------- 02:00 0.05 0.02 0.46 0.32 0.14 1.58 0.01 0.09
 -------- 03:00 0.04 0.02 0.46 0.34 0.12 1.58 0.01 0.06
 -------- 04:00 0.04 0.01 0.12 0.37 0.09 1.55 0.01 0.06
 -------- 05:00 0.04 0.00 ---- 0.36 0.10 1.55 0.01 0.06
 07.02.13 06:00 0.06 0.01 0.21 0.24 0.15 1.61 0.01 0.10
 -------- 07:00 0.04 0.02 0.29 0.25 0.14 1.60 0.01 0.08
 -------- 08:00 0.04 0.01 0.25 0.18 0.20 1.60 0.02 0.08
 -------- 09:00 0.04 0.01 0.12 0.17 0.19 1.59 0.03 0.11
 -------- 10:00 0.05 0.01 0.17 0.19 0.19 1.60 0.04 0.10
 07.02.13 11:00 0.04 0.01 ---- 0.25 0.15 1.58 0.03 0.17
 -------- 12:00 0.05 ---- ---- 0.22 0.17 1.60 0.04 0.37
 -------- 13:00 0.03 ---- ---- 0.22 0.17 1.58 0.04 0.12
 -------- 14:00 0.02 ---- ---- 0.28 0.14 1.56 0.03 0.07
 -------- 15:00 0.02 ---- ---- 0.27 0.16 1.56 0.03 0.07
 07.02.13 16:00 0.02 ---- ---- 0.25 0.16 1.58 0.03 0.12
 -------- 17:00 0.02 ---- ---- 0.28 0.13 1.56 0.02 0.12
 -------- 18:00 0.02 ---- ---- 0.30 0.13 1.57 0.02 0.04
 -------- 19:00 0.05 ---- ---- 0.26 0.14 1.61 0.02 0.09
 -------- 20:00 0.07 ---- ---- 0.25 0.15 1.59 0.02 0.08
 07.02.13 21:00 0.05 ---- ---- 0.28 0.13 1.58 0.02 0.07
 -------- 22:00 0.04 ---- ---- 0.30 0.11 1.61 0.01 0.06
 -------- 23:00 0.04 ---- ---- 0.33 0.09 1.58 0.02 0.05
