 Date Time CO H2S OZ NO2 CHX NO PM10
 02.10.12 00:00 0.08 1.71 0.01 0.27 1.93 0.07 0.09
 -------- 01:00 0.09 1.46 0.01 0.25 1.90 0.08 0.08
 -------- 02:00 0.09 0.75 0.01 0.23 1.85 0.09 0.10
 -------- 03:00 0.07 0.96 0.01 0.23 1.86 0.09 0.08
 -------- 04:00 0.06 0.75 0.01 0.21 1.86 0.08 0.09
 02.10.12 05:00 0.08 0.58 0.01 0.20 1.86 0.13 0.06
 -------- 06:00 0.14 0.25 0.01 0.18 1.84 0.18 0.07
 -------- 07:00 0.20 0.25 0.01 0.19 1.96 0.29 0.17
 -------- 08:00 0.30 0.42 0.01 0.24 2.01 0.40 0.18
 -------- 09:00 0.26 0.38 0.01 0.26 1.90 0.36 0.15
 02.10.12 10:00 0.26 0.42 0.01 0.29 1.83 0.37 0.15
 -------- 11:00 0.19 0.31 0.03 0.25 1.66 0.21 0.15
 -------- 12:00 0.08 ---- 0.10 0.15 1.54 0.04 0.06
 -------- 13:00 0.08 ---- 0.12 0.14 1.52 0.03 0.06
 -------- 14:00 0.07 ---- 0.13 0.14 1.49 0.03 0.05
 02.10.12 15:00 0.07 ---- 0.15 0.14 1.48 0.02 0.05
 -------- 16:00 0.07 ---- 0.15 0.15 1.48 0.03 0.05
 -------- 17:00 0.10 ---- 0.11 0.21 1.50 0.04 0.06
 -------- 18:00 0.11 ---- 0.07 0.25 1.51 0.04 0.07
 -------- 19:00 0.13 ---- 0.03 0.28 1.55 0.06 0.10
 02.10.12 20:00 0.17 ---- 0.01 0.28 1.62 0.10 0.15
 -------- 21:00 0.17 0.12 0.01 0.29 1.69 0.12 0.13
 -------- 22:00 0.17 0.12 0.01 0.28 1.80 0.15 0.19
 -------- 23:00 0.16 0.12 0.01 0.27 1.78 0.14 0.20
 -------- 00:00 0.11 ---- 0.01 0.24 1.68 0.07 0.12
 03.10.12 01:00 0.10 ---- 0.01 0.24 1.70 0.05 0.11
 -------- 02:00 0.08 ---- 0.01 0.21 1.62 0.03 0.09
 -------- 03:00 0.07 ---- 0.04 0.18 1.58 0.01 0.05
 -------- 04:00 0.06 ---- 0.04 0.17 1.60 0.01 0.06
 -------- 05:00 0.06 ---- 0.04 0.17 1.59 0.01 0.06
 03.10.12 06:00 0.07 ---- 0.03 0.17 1.54 0.02 0.05
 -------- 07:00 0.06 ---- 0.03 0.18 1.54 0.03 0.05
 -------- 08:00 0.05 ---- 0.02 0.18 1.59 0.05 0.05
 -------- 09:00 0.07 0.12 0.02 0.20 1.58 0.07 0.09
 -------- 10:00 0.07 0.12 0.02 0.20 1.58 0.07 0.11
 03.10.12 11:00 0.08 0.12 0.02 0.20 1.56 0.09 0.10
 -------- 12:00 0.07 ---- 0.03 0.18 1.53 0.08 0.08
 -------- 13:00 0.08 0.12 0.02 0.20 1.55 0.09 0.10
 -------- 14:00 0.08 0.12 0.01 0.21 1.56 0.11 0.09
 -------- 15:00 0.08 0.12 0.01 0.20 1.58 0.10 0.10
 03.10.12 16:00 0.09 0.12 0.01 0.22 1.60 0.11 0.12
 -------- 17:00 0.11 0.17 0.01 0.22 1.63 0.13 0.14
 -------- 18:00 0.11 0.12 0.01 0.21 1.65 0.13 0.16
 -------- 19:00 0.11 0.17 0.01 0.22 1.67 0.14 0.16
 -------- 20:00 0.14 0.21 0.01 0.22 1.70 0.14 0.17
 03.10.12 21:00 0.15 0.21 0.01 0.20 1.76 0.16 0.19
 -------- 22:00 0.17 0.25 0.01 0.21 1.72 0.19 0.19
 -------- 23:00 0.14 0.25 0.01 0.19 1.67 0.15 0.16
