 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 16.09.12 16:00 ---- ---- 0.17 0.10 0.11 1.50 0.02 0.02
 -------- 17:00 0.02 ---- 0.21 0.11 0.12 1.51 0.02 0.03
 -------- 18:00 ---- ---- 0.17 0.14 0.12 1.48 0.01 0.02
 -------- 19:00 0.02 ---- 0.50 0.14 0.13 1.54 0.01 0.02
 -------- 20:00 0.04 ---- 0.21 0.05 0.20 1.56 0.01 0.05
 16.09.12 21:00 0.05 ---- 0.12 0.04 0.20 1.54 0.01 0.05
 -------- 22:00 0.07 ---- 0.25 0.01 0.23 1.59 0.04 0.06
 -------- 23:00 0.07 ---- 1.50 0.01 0.23 1.83 0.04 0.06
 -------- 00:00 0.08 ---- 1.08 0.01 0.23 1.88 0.06 0.08
 -------- 01:00 0.07 ---- 1.50 0.01 0.22 1.85 0.04 0.08
 17.09.12 02:00 0.09 ---- 1.21 0.01 0.21 1.86 0.05 0.05
 -------- 03:00 0.05 ---- 0.12 0.01 0.20 1.58 0.03 0.05
 -------- 04:00 0.04 ---- 1.46 0.01 0.19 1.86 0.03 0.04
 -------- 05:00 0.05 ---- 1.46 0.01 0.19 1.91 0.05 0.04
 -------- 06:00 0.06 ---- 1.12 0.01 0.19 1.91 0.09 0.05
 17.09.12 07:00 0.07 ---- 1.29 0.01 0.19 1.96 0.11 0.05
 -------- 08:00 0.15 ---- 2.00 0.01 0.23 2.11 0.21 0.09
 -------- 09:00 0.17 ---- 1.58 0.02 0.25 2.08 0.23 0.11
 -------- 10:00 0.15 ---- 0.54 0.03 0.25 1.95 0.17 0.10
 -------- 11:00 0.11 ---- 0.71 0.05 0.23 1.82 0.11 0.07
 17.09.12 12:00 0.03 ---- ---- 0.12 0.15 1.52 0.03 0.03
 -------- 13:00 0.03 ---- ---- 0.15 0.13 1.48 0.02 0.04
 -------- 14:00 0.02 ---- ---- 0.19 0.10 1.46 0.01 0.03
 -------- 15:00 0.02 ---- ---- 0.20 0.10 1.49 0.01 0.04
 -------- 16:00 0.02 ---- ---- 0.19 0.12 1.47 0.01 0.04
 17.09.12 17:00 0.03 ---- ---- 0.18 0.13 1.48 0.01 0.05
 -------- 18:00 0.02 ---- ---- 0.16 0.16 1.48 0.01 0.07
 -------- 19:00 0.03 ---- 0.25 0.13 0.19 1.57 0.01 0.13
 -------- 20:00 0.13 ---- 0.67 0.02 0.27 1.78 0.06 0.44
 -------- 21:00 0.57 ---- 1.21 0.02 0.31 2.29 0.54 0.42
 17.09.12 22:00 0.77 ---- 1.67 0.02 0.40 2.77 1.02 0.46
 -------- 23:00 0.67 ---- 1.67 0.02 0.38 3.09 0.99 0.39
 -------- 00:00 0.43 ---- 1.29 0.01 0.32 2.83 0.76 0.35
 -------- 01:00 0.31 ---- 1.00 0.01 0.27 2.62 0.51 0.28
 -------- 02:00 0.27 ---- 0.96 0.01 0.24 2.53 0.45 0.28
 18.09.12 03:00 0.25 ---- 1.21 0.01 0.22 2.50 0.44 0.22
 -------- 04:00 0.23 ---- 1.00 0.01 0.21 2.48 0.40 0.19
 -------- 05:00 0.20 ---- 0.75 0.01 0.20 2.30 0.36 0.15
 -------- 06:00 0.27 ---- 0.67 0.01 0.21 2.18 0.40 0.13
 -------- 07:00 0.28 ---- 0.71 0.01 0.24 2.14 0.48 0.13
 18.09.12 08:00 0.40 ---- 1.12 0.01 0.27 2.52 0.71 0.23
 -------- 09:00 0.36 ---- 1.12 0.01 0.28 2.60 0.69 0.30
 -------- 10:00 0.34 ---- 0.96 0.01 0.32 2.23 0.60 0.27
 -------- 11:00 0.27 ---- 0.79 0.01 0.38 2.13 0.48 0.25
 -------- 12:00 0.18 ---- 0.50 0.02 0.32 1.97 0.31 0.18
 18.09.12 13:00 0.03 ---- ---- 0.08 0.19 1.54 0.06 0.04
 -------- 14:00 0.02 ---- ---- 0.15 0.14 1.47 0.02 0.27
 -------- 15:00 0.02 ---- ---- 0.15 0.16 1.47 0.02 0.15
