 Date Time CO H2S OZ NO2 CHX NO
 12.10.12 00:00 0.02 0.12 0.01 0.21 1.59 0.07
 -------- 01:00 0.02 0.12 0.01 0.20 1.59 0.06
 -------- 02:00 0.02 0.12 0.01 0.20 1.59 0.06
 -------- 03:00 ---- ---- 0.02 0.19 1.56 0.03
 -------- 04:00 ---- ---- 0.01 0.20 1.59 0.04
 12.10.12 05:00 0.07 0.29 0.01 0.20 2.00 0.19
 -------- 06:00 0.05 0.29 0.01 0.19 1.99 0.20
 -------- 07:00 0.17 0.54 0.01 0.20 2.08 0.33
 -------- 08:00 0.17 0.38 0.01 0.19 1.96 0.22
 -------- 09:00 0.25 0.62 0.01 0.22 2.11 0.36
 12.10.12 10:00 0.26 0.75 0.01 0.24 2.08 0.39
 -------- 11:00 0.25 0.58 0.01 0.26 1.99 0.32
 -------- 12:00 0.25 0.88 0.02 0.36 2.51 0.39
 -------- 13:00 0.19 0.62 0.02 0.30 2.21 0.27
 -------- 14:00 0.12 0.33 0.03 0.25 1.90 0.14
 12.10.12 15:00 0.15 0.58 0.03 0.27 1.95 0.12
 -------- 16:00 0.09 0.17 0.04 0.22 1.71 0.05
 -------- 17:00 0.08 0.12 0.05 0.21 1.69 0.03
 -------- 18:00 0.11 0.21 0.01 0.24 1.65 0.07
 -------- 19:00 0.13 0.21 0.01 0.23 1.76 0.10
 12.10.12 20:00 0.12 0.12 0.01 0.21 1.60 0.06
 -------- 21:00 0.10 ---- 0.02 0.21 1.54 0.02
 -------- 22:00 0.08 ---- 0.05 0.19 1.53 0.01
 -------- 23:00 0.08 ---- 0.04 0.19 1.55 0.01
 -------- 00:00 0.08 0.12 0.05 0.18 1.57 0.01
 13.10.12 01:00 0.07 ---- 0.09 0.13 1.54 0.00
 -------- 02:00 0.06 ---- 0.13 0.09 1.50 0.00
 -------- 03:00 0.06 ---- 0.13 0.10 1.49 0.00
 -------- 04:00 0.06 ---- 0.14 0.09 1.51 0.00
 -------- 05:00 0.06 ---- 0.14 0.10 1.50 0.00
 13.10.12 06:00 0.07 ---- 0.06 0.15 1.53 0.01
 -------- 07:00 0.05 0.12 0.04 0.18 1.53 0.01
 -------- 08:00 0.06 ---- 0.03 0.18 1.57 0.02
 -------- 09:00 0.06 0.12 0.03 0.18 1.60 0.03
 -------- 10:00 0.06 0.12 0.05 0.19 1.56 0.04
 13.10.12 11:00 0.06 ---- 0.10 0.17 1.53 0.03
 -------- 12:00 0.06 ---- 0.13 0.16 1.54 0.03
 -------- 13:00 0.05 ---- 0.11 0.16 1.58 0.03
 -------- 14:00 0.06 ---- 0.12 0.14 1.56 0.03
 -------- 15:00 0.05 ---- 0.14 0.12 1.55 0.02
 13.10.12 16:00 0.06 ---- 0.13 0.14 1.55 0.02
 -------- 17:00 0.07 ---- 0.10 0.17 1.57 0.02
 -------- 18:00 0.09 ---- 0.05 0.22 1.58 0.03
 -------- 19:00 0.11 0.12 0.01 0.25 1.60 0.04
 -------- 20:00 0.14 0.71 0.01 0.26 1.81 0.06
 13.10.12 21:00 0.15 1.33 0.01 0.27 1.94 0.09
 -------- 22:00 0.15 1.33 0.01 0.27 1.98 0.10
 -------- 23:00 0.14 1.12 0.01 0.28 1.86 0.07
