 Date Time CO H2S OZ NO2 CHX NO PM10
 06.12.12 00:00 0.09 0.19 0.01 0.26 1.73 0.16 ----
 -------- 01:00 0.05 0.12 0.01 0.29 1.64 0.12 ----
 -------- 02:00 0.05 0.12 0.01 0.31 1.62 0.08 ----
 -------- 03:00 0.03 ---- 0.04 0.27 1.60 0.02 ----
 -------- 04:00 0.02 ---- 0.08 0.22 1.60 0.01 ----
 06.12.12 05:00 0.02 ---- 0.13 0.16 1.57 0.01 ----
 -------- 06:00 0.03 ---- 0.07 0.21 1.59 0.03 ----
 -------- 07:00 0.05 ---- 0.06 0.21 1.60 0.04 ----
 -------- 08:00 0.06 ---- 0.07 0.20 1.59 0.04 ----
 -------- 09:00 0.06 ---- 0.05 0.22 1.60 0.05 ----
 06.12.12 10:00 0.06 ---- 0.06 0.20 1.57 0.05 ----
 -------- 11:00 0.06 ---- 0.10 0.19 1.57 0.04 ----
 -------- 12:00 0.06 ---- 0.13 0.16 1.55 0.04 ----
 -------- 13:00 0.07 ---- 0.13 0.17 1.55 0.04 ----
 -------- 14:00 0.06 ---- 0.15 0.15 1.54 0.04 ----
 06.12.12 15:00 0.06 ---- 0.14 0.15 1.54 0.05 ----
 -------- 16:00 0.07 ---- 0.10 0.19 1.55 0.05 ----
 -------- 17:00 0.06 ---- 0.10 0.18 1.55 0.05 ----
 -------- 18:00 0.06 ---- 0.12 0.15 1.54 0.04 ----
 -------- 19:00 0.04 ---- 0.15 0.15 1.53 0.03 ----
 06.12.12 20:00 0.04 ---- 0.09 0.18 1.52 0.07 ----
 -------- 21:00 0.04 ---- 0.05 0.19 1.53 0.10 ----
 -------- 22:00 0.04 0.12 0.01 0.19 1.60 0.15 ----
 -------- 23:00 0.04 0.12 0.02 0.19 1.67 0.13 ----
 -------- 00:00 0.03 0.17 0.11 0.18 1.66 0.02 ----
 07.12.12 01:00 0.02 0.25 0.13 0.17 1.63 0.01 ----
 -------- 02:00 0.02 0.25 0.10 0.19 1.61 0.02 ----
 -------- 03:00 0.02 ---- 0.12 0.18 1.59 0.01 ----
 -------- 04:00 0.02 0.12 0.17 0.14 1.61 0.01 ----
 -------- 05:00 0.03 ---- 0.09 0.19 1.55 0.06 ----
 07.12.12 06:00 0.02 ---- 0.17 0.15 1.58 0.02 ----
 -------- 07:00 0.02 ---- 0.15 0.15 1.55 0.03 ----
 -------- 08:00 0.02 ---- 0.17 0.12 1.53 0.03 ----
 -------- 09:00 0.02 ---- 0.12 0.15 1.51 0.07 ----
 -------- 10:00 0.02 ---- 0.14 0.15 1.51 0.06 ----
 07.12.12 11:00 0.02 ---- 0.17 0.13 1.51 0.03 ----
 -------- 12:00 0.03 ---- 0.16 0.13 1.51 0.04 ----
 -------- 13:00 0.03 ---- 0.15 0.14 1.52 0.04 ----
 -------- 14:00 0.03 ---- 0.10 0.17 1.52 0.08 ----
 -------- 15:00 0.06 ---- 0.02 0.17 1.57 0.22 ----
 07.12.12 16:00 0.07 ---- 0.01 0.16 1.66 0.25 ----
 -------- 17:00 0.10 ---- 0.01 0.20 1.76 0.17 ----
 -------- 18:00 0.07 0.19 0.01 0.23 1.78 0.10 ----
 -------- 19:00 0.07 0.12 0.03 0.22 1.75 0.04 ----
 -------- 20:00 0.08 0.17 0.03 0.20 1.79 0.05 ----
 07.12.12 21:00 0.08 0.29 0.02 0.19 1.78 0.05 ----
 -------- 22:00 0.07 0.17 0.02 0.18 1.72 0.05 ----
 -------- 23:00 0.06 0.12 0.03 0.16 1.66 0.03 ----
