 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 13.02.13 00:00 0.06 0.00 0.12 0.24 0.18 1.74 0.01 0.06
 -------- 01:00 0.06 0.01 0.25 0.22 0.18 1.72 0.01 0.06
 -------- 02:00 0.07 0.01 0.29 0.16 0.21 1.71 0.01 0.07
 -------- 03:00 0.06 0.01 0.38 0.16 0.20 1.71 0.01 0.06
 -------- 04:00 0.06 0.01 0.25 0.30 0.13 1.60 0.01 0.05
 13.02.13 05:00 0.07 0.01 0.12 0.30 0.13 1.57 0.01 0.06
 -------- 06:00 0.07 0.01 0.21 0.26 0.15 1.58 0.02 0.06
 -------- 07:00 0.09 0.01 0.17 0.14 0.21 1.61 0.05 0.07
 -------- 08:00 0.08 0.02 0.17 0.14 0.22 1.61 0.03 0.08
 -------- 09:00 0.10 0.02 0.12 0.12 0.23 1.62 0.03 0.08
 13.02.13 10:00 0.10 0.02 0.12 0.10 0.25 1.61 0.07 0.08
 -------- 11:00 0.09 0.01 0.12 0.21 0.21 1.57 0.05 0.08
 -------- 12:00 0.08 0.02 0.12 0.21 0.20 1.59 0.07 0.11
 -------- 13:00 0.09 0.03 0.12 0.18 0.20 1.62 0.11 0.13
 -------- 14:00 0.08 0.04 0.12 0.21 0.21 1.61 0.08 0.11
 13.02.13 15:00 0.08 0.03 0.12 0.26 0.20 1.60 0.06 0.10
 -------- 16:00 0.09 0.04 0.12 0.26 0.21 1.58 0.06 0.10
 -------- 17:00 0.10 0.03 0.12 0.21 0.25 1.61 0.07 0.11
 -------- 18:00 0.12 0.02 0.12 0.08 0.35 1.64 0.08 0.11
 -------- 19:00 0.12 0.02 0.21 0.04 0.36 1.65 0.10 0.12
 13.02.13 20:00 0.12 0.03 0.67 0.01 0.37 1.79 0.09 0.11
 -------- 21:00 0.15 0.04 1.00 0.01 0.35 1.88 0.16 0.11
 -------- 22:00 0.11 0.04 0.79 0.02 0.36 1.77 0.08 0.10
 -------- 23:00 0.11 0.02 0.38 0.01 0.36 1.91 0.05 0.09
 -------- 00:00 0.08 0.02 0.25 0.06 0.33 1.92 0.02 0.09
 14.02.13 01:00 0.06 0.02 0.25 0.15 0.26 1.70 0.01 0.08
 -------- 02:00 0.06 0.01 0.12 0.23 0.21 1.76 0.01 0.08
 -------- 03:00 0.06 0.01 0.12 0.17 0.25 1.79 0.01 0.09
 -------- 04:00 0.06 0.01 0.12 0.10 0.31 1.88 0.01 0.09
 -------- 05:00 0.08 0.01 0.12 0.03 0.35 1.73 0.03 0.09
 14.02.13 06:00 0.07 0.01 0.12 0.03 0.33 1.66 0.03 0.09
 -------- 07:00 0.09 0.01 0.12 0.02 0.31 1.85 0.04 0.08
 -------- 08:00 0.11 0.01 0.12 0.03 0.31 1.73 0.05 0.09
 -------- 09:00 0.12 0.01 0.12 0.04 0.29 1.74 0.07 0.09
 -------- 10:00 0.12 0.01 0.12 0.08 0.27 1.90 0.10 0.09
 14.02.13 11:00 0.13 0.01 ---- 0.12 0.24 1.85 0.11 0.10
 -------- 12:00 0.12 0.01 ---- 0.14 0.23 1.69 0.12 0.11
 -------- 13:00 0.12 0.01 0.12 0.16 0.24 1.79 0.14 0.13
 -------- 14:00 0.10 0.02 0.12 0.26 0.20 1.63 0.08 0.11
 -------- 15:00 0.10 0.02 0.12 0.22 0.26 1.61 0.09 0.11
 14.02.13 16:00 0.10 0.01 ---- 0.21 0.26 1.66 0.06 0.10
 -------- 17:00 0.10 0.01 ---- 0.16 0.30 1.76 0.06 0.10
 -------- 18:00 0.11 0.01 0.12 0.09 0.34 1.73 0.05 0.11
 -------- 19:00 0.12 0.01 0.12 0.03 0.38 1.69 0.07 0.12
 -------- 20:00 0.13 0.01 0.17 0.03 0.37 1.74 0.06 0.12
 14.02.13 21:00 0.11 0.15 0.46 0.05 0.38 1.91 0.06 0.11
 -------- 22:00 0.12 0.40 1.17 0.03 0.39 1.91 0.07 0.12
 -------- 23:00 0.11 0.11 0.33 0.02 0.38 1.86 0.05 0.12
