 Date Time CO H2S OZ NO2 CHX NO PM10
 04.12.12 00:00 0.02 0.12 0.24 0.09 1.62 0.01 ----
 -------- 01:00 0.02 0.12 0.23 0.09 1.62 0.00 ----
 -------- 02:00 0.02 0.21 0.26 0.08 1.58 0.01 ----
 -------- 03:00 ---- 0.21 0.28 0.07 1.68 0.00 ----
 -------- 04:00 0.02 0.25 0.26 0.07 1.68 0.00 ----
 04.12.12 05:00 0.02 0.29 0.23 0.09 1.62 0.00 ----
 -------- 06:00 0.02 0.25 0.18 0.12 1.60 0.01 ----
 -------- 07:00 0.05 0.25 0.12 0.15 1.71 0.01 ----
 -------- 08:00 0.06 0.25 0.09 0.15 1.70 0.03 ----
 -------- 09:00 0.06 0.29 0.05 0.17 1.76 0.03 ----
 04.12.12 10:00 0.07 0.58 0.04 0.18 1.74 0.05 ----
 -------- 11:00 0.07 1.04 0.02 0.15 1.79 0.11 ----
 -------- 12:00 0.08 0.62 0.01 0.06 1.71 0.29 ----
 -------- 13:00 0.11 0.42 0.04 0.12 1.69 0.08 ----
 -------- 14:00 0.08 0.46 0.04 0.14 1.69 0.07 ----
 04.12.12 15:00 0.09 0.50 0.01 0.12 1.70 0.12 ----
 -------- 16:00 0.11 0.50 ---- 0.08 1.71 0.16 ----
 -------- 17:00 0.11 0.50 ---- 0.08 1.68 0.15 ----
 -------- 18:00 0.07 0.50 0.01 0.15 1.62 0.06 ----
 -------- 19:00 0.05 0.38 0.09 0.15 1.57 0.02 ----
 04.12.12 20:00 0.04 0.21 0.15 0.13 1.53 0.01 ----
 -------- 21:00 0.03 0.21 0.17 0.12 1.52 0.01 ----
 -------- 22:00 0.03 0.12 0.17 0.13 1.52 0.01 ----
 -------- 23:00 0.02 0.12 0.19 0.13 1.52 0.01 ----
 -------- 00:00 0.02 0.12 0.23 0.10 1.50 0.01 ----
 05.12.12 01:00 0.02 0.12 0.25 0.08 1.49 0.00 ----
 -------- 02:00 0.02 0.12 0.22 0.11 1.51 0.00 ----
 -------- 03:00 0.02 0.12 0.21 0.11 1.49 0.00 ----
 -------- 04:00 0.02 0.12 0.24 0.10 1.50 0.00 ----
 -------- 05:00 0.02 0.12 0.25 0.10 1.49 0.00 ----
 05.12.12 06:00 0.02 0.12 0.21 0.13 1.50 0.01 ----
 -------- 07:00 0.03 0.12 0.23 0.14 1.51 0.01 ----
 -------- 08:00 0.03 0.12 0.23 0.16 1.51 0.01 ----
 -------- 09:00 0.04 ---- 0.11 0.26 1.54 0.02 ----
 -------- 10:00 0.04 ---- 0.11 0.27 1.54 0.02 ----
 05.12.12 11:00 0.04 ---- 0.20 0.21 1.53 0.03 ----
 -------- 12:00 0.04 ---- 0.21 0.18 1.52 0.04 ----
 -------- 13:00 0.04 0.12 0.19 0.20 1.53 0.05 ----
 -------- 14:00 0.04 0.12 0.21 0.18 1.54 0.04 ----
 -------- 15:00 0.05 0.21 0.14 0.23 1.54 0.09 ----
 05.12.12 16:00 0.04 0.25 0.17 0.22 1.51 0.03 ----
 -------- 17:00 0.05 0.25 0.07 0.30 1.58 0.06 ----
 -------- 18:00 0.11 0.25 0.01 0.31 1.63 0.19 ----
 -------- 19:00 0.11 0.38 0.01 0.31 1.64 0.20 ----
 -------- 20:00 0.13 0.33 0.01 0.27 1.74 0.29 ----
 05.12.12 21:00 0.15 0.46 0.01 0.25 1.87 0.33 ----
 -------- 22:00 0.09 0.38 0.01 0.30 1.66 0.13 ----
 -------- 23:00 0.06 0.38 0.01 0.29 1.64 0.11 ----
