 Date Time CO H2S OZ NO2 CHX NO PM10
 07.10.12 00:00 0.04 ---- 0.24 0.08 1.47 0.00 0.02
 -------- 01:00 0.04 0.12 0.23 0.08 1.48 0.00 0.01
 -------- 02:00 0.05 0.12 0.19 0.12 1.49 0.01 0.02
 -------- 03:00 0.07 0.12 0.11 0.17 1.52 0.01 0.03
 -------- 04:00 0.06 0.12 0.10 0.16 1.57 0.01 0.06
 07.10.12 05:00 0.06 0.21 0.10 0.16 1.70 0.01 0.12
 -------- 06:00 0.06 0.17 0.11 0.13 1.56 0.01 0.05
 -------- 07:00 0.05 0.17 0.15 0.08 1.49 0.01 0.01
 -------- 08:00 0.04 0.25 0.18 0.08 1.48 0.01 0.01
 -------- 09:00 0.07 0.25 0.10 0.14 1.53 0.02 0.04
 07.10.12 10:00 0.08 0.29 0.08 0.17 1.53 0.03 0.08
 -------- 11:00 0.06 0.25 0.16 0.12 1.48 0.02 0.06
 -------- 12:00 0.04 0.25 0.23 0.07 1.45 0.01 0.03
 -------- 13:00 0.04 0.17 0.26 0.05 1.45 0.01 0.02
 -------- 14:00 0.04 0.17 0.25 0.06 1.46 0.01 0.03
 07.10.12 15:00 0.04 0.12 0.27 0.05 1.45 0.01 0.03
 -------- 16:00 0.04 0.12 0.27 0.06 1.46 0.00 0.03
 -------- 17:00 0.04 0.12 0.25 0.07 1.47 0.00 0.03
 -------- 18:00 0.04 0.12 0.25 0.08 1.46 0.00 0.02
 -------- 19:00 0.05 0.29 0.24 0.10 1.52 0.00 0.01
 07.10.12 20:00 0.06 0.46 0.17 0.17 1.55 0.00 0.02
 -------- 21:00 0.11 0.12 0.05 0.27 1.57 0.03 0.05
 -------- 22:00 0.10 0.12 0.03 0.28 1.55 0.03 0.06
 -------- 23:00 0.13 0.21 0.02 0.29 1.60 0.09 0.06
 -------- 00:00 0.20 0.42 0.01 0.27 1.72 0.19 0.08
 08.10.12 01:00 0.21 0.50 0.01 0.26 1.89 0.25 0.10
 -------- 02:00 0.15 0.42 0.01 0.24 1.96 0.16 0.09
 -------- 03:00 0.14 0.42 0.01 0.23 2.01 0.14 0.12
 -------- 04:00 0.11 0.38 0.01 0.23 1.89 0.07 0.18
 -------- 05:00 0.08 0.25 0.01 0.22 1.68 0.04 0.08
 08.10.12 06:00 0.10 0.25 0.01 0.22 1.69 0.07 0.04
 -------- 07:00 0.08 0.21 0.02 0.21 1.67 0.04 0.04
 -------- 08:00 0.09 0.21 0.03 0.24 1.61 0.04 0.05
 -------- 09:00 0.07 0.12 0.08 0.19 1.57 0.03 0.03
 -------- 10:00 0.08 0.25 0.04 0.23 1.64 0.05 0.04
 08.10.12 11:00 0.11 0.46 0.02 0.30 1.67 0.07 0.05
 -------- 12:00 0.08 0.25 0.06 0.29 1.70 0.03 0.04
 -------- 13:00 0.08 0.25 0.05 0.30 1.57 0.04 0.03
 -------- 14:00 0.06 0.17 0.08 0.24 1.54 0.02 0.03
 -------- 15:00 0.06 0.12 0.08 0.23 1.51 0.02 0.03
 08.10.12 16:00 0.06 0.12 0.10 0.20 1.52 0.01 0.02
 -------- 17:00 0.06 0.12 0.09 0.20 1.50 0.02 0.02
 -------- 18:00 0.06 0.12 0.09 0.20 1.50 0.01 0.02
 -------- 19:00 0.06 0.17 0.09 0.19 1.50 0.01 0.02
 -------- 20:00 0.06 0.17 0.08 0.20 1.54 0.01 0.02
 08.10.12 21:00 0.06 0.12 0.08 0.19 1.54 0.01 0.02
 -------- 22:00 0.06 0.17 0.08 0.19 1.53 0.01 0.02
 -------- 23:00 0.05 0.12 0.08 0.19 1.54 0.00 0.01
