 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 18.04.13 12:00 0.08 0.01 0.12 0.49 0.25 1.63 0.03 0.16
 -------- 13:00 0.07 0.01 0.12 0.57 0.19 1.57 0.02 0.17
 -------- 14:00 0.06 0.01 0.12 0.64 0.12 1.53 0.01 0.20
 -------- 15:00 0.05 0.00 0.12 0.64 0.11 1.53 0.01 0.20
 -------- 16:00 0.06 0.00 0.12 0.64 0.10 1.52 0.01 0.16
 18.04.13 17:00 0.06 0.00 0.12 0.63 0.10 1.54 0.01 0.16
 -------- 18:00 0.06 0.00 0.17 0.59 0.12 1.59 0.01 0.14
 -------- 19:00 0.02 0.01 0.25 0.52 0.18 1.63 0.01 0.12
 -------- 20:00 0.03 0.01 0.17 0.47 0.23 1.57 0.01 0.14
 -------- 21:00 0.05 0.01 0.25 0.30 0.35 1.63 0.01 0.18
 18.04.13 22:00 0.09 0.01 0.29 0.11 0.53 1.68 0.03 0.21
 -------- 23:00 0.09 0.01 0.33 0.10 0.53 1.68 0.04 0.19
 -------- 00:00 0.12 0.01 0.21 0.05 0.56 1.77 0.14 0.24
 -------- 01:00 0.19 0.02 0.38 0.01 0.43 2.04 0.43 0.36
 -------- 02:00 0.09 0.01 0.21 0.07 0.50 1.86 0.09 0.18
 19.04.13 03:00 0.03 0.01 0.17 0.31 0.33 1.68 0.00 0.13
 -------- 04:00 0.02 0.01 0.17 0.42 0.24 1.62 0.01 0.10
 -------- 05:00 0.02 0.01 0.12 0.42 0.25 1.59 0.01 0.49
 -------- 06:00 0.05 0.01 0.21 0.24 0.42 1.63 0.02 0.18
 -------- 07:00 0.12 0.01 0.17 0.15 0.49 1.73 0.07 0.19
 19.04.13 08:00 0.13 0.01 0.12 0.18 0.47 1.73 0.09 0.23
 -------- 09:00 0.09 0.01 0.17 0.39 0.31 1.64 0.03 0.17
 -------- 10:00 0.07 0.01 0.12 0.45 0.28 1.63 0.03 0.22
 -------- 11:00 0.06 0.01 0.12 0.56 0.21 1.60 0.02 0.16
 -------- 12:00 0.04 0.01 ---- 0.73 0.12 1.55 0.01 0.29
 19.04.13 13:00 0.04 0.01 ---- 0.79 0.09 1.52 0.01 0.21
 -------- 14:00 0.04 0.01 ---- 0.78 0.10 1.52 0.01 0.18
 -------- 15:00 0.04 0.01 ---- 0.78 0.09 1.53 0.01 0.16
 -------- 16:00 0.04 0.01 ---- 0.76 0.11 1.53 0.01 0.13
 -------- 17:00 0.04 0.01 0.12 0.75 0.12 1.53 0.01 0.14
 19.04.13 18:00 0.04 0.01 ---- 0.74 0.12 1.52 0.01 0.12
 -------- 19:00 0.02 0.01 ---- 0.66 0.18 1.54 0.01 0.13
 -------- 20:00 0.04 0.01 0.12 0.54 0.28 1.58 0.01 0.15
 -------- 21:00 0.05 0.01 0.12 0.44 0.35 1.60 0.01 0.15
 -------- 22:00 0.06 0.01 0.17 0.30 0.41 1.65 0.01 0.22
 19.04.13 23:00 0.04 0.01 0.12 0.36 0.31 1.58 0.01 0.18
 -------- 00:00 0.04 0.01 0.12 0.26 0.38 1.67 0.00 0.13
 -------- 01:00 0.03 0.01 0.25 0.28 0.34 1.64 0.00 0.11
 -------- 02:00 0.02 0.01 0.21 0.32 0.28 1.56 0.01 0.09
 -------- 03:00 0.02 0.01 0.12 0.34 0.23 1.57 0.01 0.09
 20.04.13 04:00 0.02 0.01 0.17 0.27 0.29 1.58 0.01 0.09
 -------- 05:00 0.02 0.01 0.67 0.13 0.41 2.00 0.01 0.09
 -------- 06:00 0.02 0.01 1.67 0.10 0.43 3.19 0.03 0.09
 -------- 07:00 0.06 0.01 1.17 0.15 0.40 3.01 0.02 0.11
 -------- 08:00 0.08 0.01 0.62 0.11 0.41 2.15 0.05 0.19
 20.04.13 09:00 0.09 0.01 0.50 0.09 0.43 2.02 0.06 0.19
 -------- 10:00 0.11 0.01 0.33 0.08 0.44 1.91 0.12 0.23
 -------- 11:00 0.12 0.01 0.25 0.07 0.45 1.80 0.12 0.24
