 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 29.12.12 12:00 0.06 ---- ---- 0.35 0.15 1.49 0.01 0.03
 -------- 13:00 0.07 ---- ---- 0.35 0.15 1.50 0.02 0.02
 -------- 14:00 0.06 ---- ---- 0.36 0.13 1.51 0.01 0.02
 -------- 15:00 0.06 ---- ---- 0.34 0.15 1.51 0.01 0.02
 -------- 16:00 0.06 ---- ---- 0.34 0.14 1.51 0.01 0.03
 29.12.12 17:00 0.06 ---- ---- 0.27 0.16 1.53 0.01 0.04
 -------- 18:00 0.06 ---- ---- 0.21 0.20 1.56 0.01 0.04
 -------- 19:00 0.06 ---- ---- 0.23 0.19 1.55 0.01 0.03
 -------- 20:00 ---- ---- ---- 0.20 0.20 1.56 0.01 0.02
 -------- 21:00 ---- ---- ---- 0.17 0.21 1.57 0.01 0.03
 29.12.12 22:00 ---- ---- ---- 0.23 0.18 1.53 0.01 0.03
 -------- 23:00 ---- ---- ---- 0.20 0.19 1.53 0.01 0.03
 -------- 00:00 ---- 0.01 ---- 0.22 0.15 1.53 0.01 0.03
 -------- 01:00 ---- 0.01 ---- 0.20 0.16 1.53 0.01 0.02
 -------- 02:00 ---- 0.01 ---- 0.19 0.17 1.53 0.01 0.03
 30.12.12 03:00 ---- 0.01 ---- 0.22 0.14 1.51 0.01 0.02
 -------- 04:00 ---- 0.01 ---- 0.17 0.18 1.52 0.01 0.03
 -------- 05:00 ---- 0.01 ---- 0.17 0.17 1.52 0.01 0.03
 -------- 06:00 ---- 0.01 ---- 0.19 0.16 1.53 0.01 0.03
 -------- 07:00 0.04 0.01 ---- 0.16 0.16 1.53 0.01 0.03
 30.12.12 08:00 0.04 0.01 ---- 0.12 0.19 1.54 0.02 0.03
 -------- 09:00 0.06 0.01 ---- 0.08 0.20 1.56 0.02 0.03
 -------- 10:00 0.05 0.01 ---- 0.11 0.20 1.56 0.02 0.03
 -------- 11:00 0.06 0.01 ---- 0.10 0.20 1.58 0.04 0.03
 -------- 12:00 0.06 0.01 ---- 0.11 0.20 1.60 0.05 0.03
 30.12.12 13:00 0.06 0.01 ---- 0.11 0.20 1.62 0.05 0.03
 -------- 14:00 0.07 0.01 ---- 0.09 0.22 1.63 0.05 0.03
 -------- 15:00 0.08 0.01 ---- 0.07 0.23 1.66 0.09 0.04
 -------- 16:00 0.09 0.01 0.12 0.04 0.26 1.65 0.09 0.04
 -------- 17:00 0.08 0.01 ---- 0.01 0.27 1.62 0.08 0.04
 30.12.12 18:00 0.10 0.01 ---- 0.01 0.27 1.65 0.10 0.04
 -------- 19:00 0.08 0.01 0.19 0.01 0.27 1.68 0.11 0.05
 -------- 20:00 0.08 0.01 0.12 0.01 0.26 1.69 0.11 0.05
 -------- 21:00 0.09 0.01 0.12 0.01 0.25 1.70 0.14 0.05
 -------- 22:00 0.09 0.01 ---- 0.01 0.23 1.73 0.16 0.07
 30.12.12 23:00 0.11 0.01 ---- 0.01 0.22 1.78 0.18 0.08
 -------- 00:00 0.15 0.01 0.25 0.01 0.19 1.85 0.31 0.09
 -------- 01:00 0.19 0.02 0.42 0.01 0.16 1.80 0.36 0.13
 -------- 02:00 0.14 0.01 0.46 0.01 0.19 1.76 0.29 0.14
 -------- 03:00 0.09 0.01 0.38 0.01 0.24 1.69 0.17 0.09
 31.12.12 04:00 0.06 0.01 0.29 0.01 0.26 1.65 0.07 0.08
 -------- 05:00 0.05 0.00 0.17 0.02 0.25 1.59 0.03 0.04
 -------- 06:00 0.04 0.00 0.17 0.03 0.22 1.61 0.02 0.08
 -------- 07:00 0.05 0.00 0.12 0.08 0.17 1.57 0.02 0.07
 -------- 08:00 0.04 0.00 0.12 0.12 0.14 1.54 0.01 0.03
 31.12.12 09:00 0.04 ---- ---- 0.07 0.18 1.56 0.03 0.04
 -------- 10:00 0.04 ---- ---- 0.09 0.15 1.56 0.02 0.04
 -------- 11:00 0.04 ---- ---- 0.10 0.15 1.56 0.04 0.03
