 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 19.03.13 12:00 0.03 ---- ---- 0.51 0.10 1.52 0.02 0.02
 -------- 13:00 0.02 0.01 0.25 0.54 0.08 1.53 0.02 0.02
 -------- 14:00 0.02 0.01 0.12 0.53 0.09 1.52 0.02 0.01
 -------- 15:00 0.04 0.01 0.12 0.46 0.13 1.53 0.03 0.03
 -------- 16:00 0.04 0.01 0.25 0.46 0.14 1.54 0.02 0.02
 19.03.13 17:00 0.03 ---- ---- 0.46 0.15 1.53 0.02 0.03
 -------- 18:00 0.04 0.01 0.21 0.48 0.14 1.54 0.01 0.02
 -------- 19:00 0.04 0.01 0.31 0.36 0.22 1.56 0.01 0.03
 -------- 20:00 0.04 ---- ---- 0.28 0.26 1.58 0.01 0.03
 -------- 21:00 0.04 0.00 0.12 0.33 0.22 1.57 0.01 0.02
 19.03.13 22:00 0.05 0.01 0.29 0.28 0.25 1.58 0.01 0.02
 -------- 23:00 0.05 0.01 0.33 0.28 0.24 1.59 0.01 0.03
 -------- 00:00 0.02 0.01 0.12 0.38 0.19 1.57 0.00 0.02
 -------- 01:00 0.02 0.01 0.33 0.34 0.19 1.56 0.01 0.02
 -------- 02:00 0.02 0.02 0.54 0.30 0.23 1.57 0.01 0.03
 20.03.13 03:00 0.03 0.02 0.67 0.20 0.29 1.57 0.01 0.03
 -------- 04:00 0.04 0.02 0.58 0.12 0.35 1.59 0.01 0.03
 -------- 05:00 0.04 0.01 0.29 0.02 0.42 1.60 0.03 0.03
 -------- 06:00 0.04 0.01 0.12 0.04 0.39 1.60 0.02 0.03
 -------- 07:00 0.09 0.01 0.33 0.07 0.37 1.62 0.03 0.03
 20.03.13 08:00 0.11 0.02 0.54 0.07 0.35 1.77 0.07 0.05
 -------- 09:00 0.11 0.03 0.67 0.14 0.29 1.88 0.07 0.05
 -------- 10:00 0.10 0.03 0.62 0.19 0.25 1.76 0.09 0.05
 -------- 11:00 0.09 0.02 0.21 0.31 0.20 1.66 0.05 0.04
 -------- 12:00 0.08 0.03 0.67 0.39 0.15 1.87 0.04 0.04
 20.03.13 13:00 0.07 0.02 0.44 0.44 0.12 1.63 0.02 0.02
 -------- 14:00 0.07 0.02 0.38 0.49 0.09 1.62 0.03 0.02
 -------- 15:00 0.08 0.02 0.46 0.46 0.13 1.63 0.03 0.03
 -------- 16:00 0.07 0.02 0.29 0.47 0.12 1.56 0.03 0.03
 -------- 17:00 0.06 0.03 0.71 0.49 0.10 1.58 0.02 0.03
 20.03.13 18:00 0.06 0.01 0.21 0.44 0.14 1.53 0.01 0.03
 -------- 19:00 0.04 0.02 0.50 0.43 0.15 1.55 0.01 0.04
 -------- 20:00 0.04 0.03 0.75 0.38 0.19 1.56 0.01 0.03
 -------- 21:00 0.04 0.02 0.42 0.36 0.19 1.58 0.01 0.03
 -------- 22:00 0.04 0.01 0.33 0.35 0.19 1.57 0.00 0.03
 20.03.13 23:00 0.04 0.03 0.62 0.38 0.16 1.57 0.01 0.02
 -------- 00:00 0.04 0.02 0.62 0.40 0.13 1.56 0.01 0.02
 -------- 01:00 0.03 ---- ---- 0.38 0.14 1.55 0.01 0.02
 -------- 02:00 0.02 0.00 ---- 0.38 0.13 1.56 0.01 0.02
 -------- 03:00 0.03 0.01 ---- 0.37 0.13 1.58 0.01 0.03
 21.03.13 04:00 0.02 0.01 ---- 0.32 0.16 1.59 0.01 0.02
 -------- 05:00 0.03 ---- ---- 0.25 0.21 1.56 0.01 0.02
 -------- 06:00 0.04 0.00 ---- 0.22 0.23 1.56 0.01 0.03
 -------- 07:00 ---- 0.01 ---- 0.19 0.26 1.58 0.03 0.03
 -------- 08:00 0.02 0.01 ---- 0.21 0.25 1.60 0.02 0.03
 21.03.13 09:00 0.02 ---- ---- 0.25 0.22 1.60 0.05 0.02
 -------- 10:00 0.02 0.00 ---- 0.30 0.19 1.59 0.06 0.03
 -------- 11:00 0.02 0.01 ---- 0.35 0.17 1.60 0.08 0.03
