 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 15.01.13 12:00 0.05 0.01 0.12 0.11 0.28 1.57 0.05 0.04
 -------- 13:00 0.04 0.01 0.12 0.11 0.28 1.57 0.06 0.04
 -------- 14:00 0.04 0.01 0.12 0.11 0.28 1.59 0.06 0.04
 -------- 15:00 0.04 0.01 0.12 0.09 0.30 1.59 0.06 0.04
 -------- 16:00 0.04 0.01 0.12 0.08 0.32 1.67 0.05 0.04
 15.01.13 17:00 0.04 0.01 0.12 0.06 0.34 1.60 0.04 0.04
 -------- 18:00 0.05 0.01 0.12 0.03 0.36 1.61 0.06 0.05
 -------- 19:00 0.05 0.01 0.12 0.01 0.35 1.60 0.06 0.05
 -------- 20:00 0.04 0.01 0.12 0.01 0.36 1.60 0.06 0.05
 -------- 21:00 0.06 0.01 0.12 0.03 0.34 1.58 0.06 0.05
 15.01.13 22:00 0.02 0.01 0.12 0.09 0.32 1.54 0.02 0.04
 -------- 23:00 0.02 0.01 0.17 0.09 0.34 1.59 0.02 0.04
 -------- 00:00 0.02 0.00 0.12 0.11 0.32 1.70 0.01 0.04
 -------- 01:00 0.02 0.00 0.12 0.11 0.31 1.58 0.03 0.03
 -------- 02:00 0.03 0.00 0.12 0.04 0.36 1.60 0.03 0.03
 16.01.13 03:00 ---- ---- 0.12 0.17 0.25 1.58 0.01 0.05
 -------- 04:00 ---- ---- ---- 0.26 0.17 1.53 0.01 0.03
 -------- 05:00 ---- ---- ---- 0.28 0.15 1.52 0.01 0.03
 -------- 06:00 ---- ---- ---- 0.24 0.19 1.52 0.01 0.03
 -------- 07:00 0.05 ---- ---- 0.23 0.20 1.53 0.02 0.03
 16.01.13 08:00 0.05 0.00 0.12 0.25 0.18 1.53 0.02 0.03
 -------- 09:00 0.08 0.00 0.12 0.18 0.24 1.56 0.03 0.04
 -------- 10:00 0.13 0.00 0.12 0.18 0.22 1.59 0.03 0.04
 -------- 11:00 0.08 0.00 0.12 0.13 0.25 1.58 0.06 0.06
 -------- 12:00 0.07 0.01 0.21 0.13 0.25 1.58 0.06 0.06
 16.01.13 13:00 0.09 0.01 0.29 0.13 0.24 1.60 0.06 0.06
 -------- 14:00 0.08 0.01 0.33 0.12 0.24 1.61 0.06 0.06
 -------- 15:00 0.08 0.01 0.38 0.09 0.27 1.63 0.06 0.07
 -------- 16:00 0.11 0.01 0.42 0.04 0.29 1.73 0.12 0.08
 -------- 17:00 0.11 0.03 0.50 0.02 0.32 1.86 0.15 0.09
 16.01.13 18:00 0.11 0.03 0.58 0.01 0.31 1.86 0.18 0.09
 -------- 19:00 0.15 0.02 0.54 0.01 0.29 1.84 0.23 0.11
 -------- 20:00 0.14 0.02 0.58 0.01 0.30 1.82 0.12 0.10
 -------- 21:00 0.11 0.02 0.58 0.01 0.30 1.70 0.08 0.08
 -------- 22:00 0.10 0.03 0.79 0.01 0.29 1.79 0.05 0.08
 16.01.13 23:00 0.09 0.03 0.67 0.04 0.28 1.71 0.03 0.07
 -------- 00:00 0.08 0.02 0.50 0.07 0.25 1.78 0.02 0.07
 -------- 01:00 0.08 0.02 0.33 0.07 0.25 1.75 0.01 0.06
 -------- 02:00 0.08 0.02 0.17 0.11 0.21 1.73 0.01 0.06
 -------- 03:00 0.08 0.02 0.21 0.14 0.19 1.93 0.01 0.06
 17.01.13 04:00 0.08 0.02 0.21 0.14 0.20 1.93 0.01 0.06
 -------- 05:00 0.08 0.01 0.12 0.14 0.20 1.79 0.01 0.06
 -------- 06:00 0.08 0.01 0.17 0.13 0.21 1.67 0.01 0.08
 -------- 07:00 0.08 0.01 0.17 0.15 0.20 1.69 0.02 0.07
 -------- 08:00 0.08 0.01 0.12 0.13 0.21 1.67 0.02 0.06
 17.01.13 09:00 0.08 0.00 ---- 0.13 0.21 1.64 0.02 0.05
 -------- 10:00 0.08 0.01 0.12 0.10 0.24 1.71 0.03 0.05
 -------- 11:00 0.07 0.01 0.12 0.14 0.21 1.67 0.03 0.05
