 Date Time CO H2S OZ NO2 CHX NO
 09.11.12 00:00 0.04 0.25 0.07 0.20 1.62 0.01
 -------- 01:00 0.04 0.12 0.08 0.19 1.61 0.01
 -------- 02:00 0.04 0.17 0.09 0.17 1.61 0.01
 -------- 03:00 0.03 0.12 0.10 0.16 1.59 0.00
 -------- 04:00 0.02 0.12 0.10 0.13 1.57 0.00
 09.11.12 05:00 0.03 0.25 0.05 0.17 1.61 0.02
 -------- 06:00 0.10 0.38 ---- 0.24 1.82 0.10
 -------- 07:00 0.13 0.54 ---- 0.24 1.89 0.18
 -------- 08:00 0.12 0.38 ---- 0.22 1.75 0.11
 -------- 09:00 0.11 0.46 ---- 0.21 1.77 0.13
 09.11.12 10:00 0.09 0.38 ---- 0.19 1.71 0.11
 -------- 11:00 0.11 0.50 ---- 0.23 1.74 0.17
 -------- 12:00 0.15 0.58 ---- 0.23 1.74 0.20
 -------- 13:00 0.09 0.42 ---- 0.21 1.66 0.10
 -------- 14:00 0.07 0.38 ---- 0.19 1.63 0.07
 09.11.12 15:00 0.07 0.25 ---- 0.19 1.62 0.05
 -------- 16:00 0.06 0.33 ---- 0.19 1.62 0.05
 -------- 17:00 0.07 0.33 ---- 0.20 1.63 0.05
 -------- 18:00 0.06 0.25 ---- 0.19 1.63 0.02
 -------- 19:00 0.04 0.25 ---- 0.19 1.62 0.02
 09.11.12 20:00 0.03 0.25 0.01 0.20 1.64 0.02
 -------- 21:00 0.02 0.21 0.07 0.19 1.63 0.01
 -------- 22:00 0.02 0.12 0.10 0.16 1.66 0.01
 -------- 23:00 0.02 0.12 0.06 0.18 1.65 0.01
 -------- 00:00 ---- 0.12 0.19 0.12 1.60 0.01
 10.11.12 01:00 ---- ---- 0.23 0.10 1.58 0.00
 -------- 02:00 ---- ---- 0.25 0.10 1.58 0.00
 -------- 03:00 ---- ---- 0.22 0.12 1.57 0.00
 -------- 04:00 ---- ---- 0.13 0.19 1.60 0.01
 -------- 05:00 ---- ---- 0.06 0.25 1.60 0.01
 10.11.12 06:00 ---- ---- 0.08 0.20 1.59 0.01
 -------- 07:00 0.02 ---- 0.06 0.21 1.60 0.01
 -------- 08:00 0.02 ---- 0.04 0.22 1.58 0.01
 -------- 09:00 0.02 ---- 0.04 0.23 1.60 0.02
 -------- 10:00 0.04 ---- 0.02 0.26 1.63 0.06
 10.11.12 11:00 0.04 ---- 0.03 0.26 1.65 0.08
 -------- 12:00 0.03 ---- 0.05 0.24 1.66 0.05
 -------- 13:00 0.03 ---- 0.09 0.21 1.64 0.04
 -------- 14:00 0.02 ---- 0.12 0.20 1.62 0.03
 -------- 15:00 0.02 ---- 0.15 0.18 1.59 0.02
 10.11.12 16:00 0.03 ---- 0.12 0.21 1.61 0.02
 -------- 17:00 0.04 ---- 0.06 0.26 1.64 0.02
 -------- 18:00 0.07 ---- 0.02 0.32 1.71 0.06
 -------- 19:00 0.07 ---- 0.01 0.32 1.70 0.05
 -------- 20:00 0.08 ---- ---- 0.32 1.70 0.06
 10.11.12 21:00 0.09 ---- ---- 0.33 1.76 0.09
 -------- 22:00 0.11 ---- ---- 0.35 2.11 0.17
 -------- 23:00 0.09 ---- ---- 0.34 2.04 0.14
