 Date Time CO H2S OZ NO2 CHX NO
 15.10.12 12:00 0.05 ---- 0.07 0.15 1.60 0.04
 -------- 13:00 0.04 ---- 0.11 0.15 1.55 0.03
 -------- 14:00 0.03 ---- 0.15 0.13 1.52 0.03
 -------- 15:00 0.03 ---- 0.17 0.13 1.51 0.02
 -------- 16:00 0.03 ---- 0.17 0.14 1.51 0.02
 15.10.12 17:00 0.04 ---- 0.19 0.20 1.54 0.02
 -------- 18:00 0.03 ---- 0.25 0.18 1.51 0.01
 -------- 19:00 0.05 ---- 0.20 0.19 1.50 0.01
 -------- 20:00 0.08 ---- 0.19 0.17 1.51 0.01
 -------- 21:00 0.08 ---- 0.17 0.16 1.51 0.01
 15.10.12 22:00 0.06 ---- 0.16 0.15 1.48 0.01
 -------- 23:00 0.05 ---- 0.23 0.11 1.48 0.01
 -------- 00:00 0.04 ---- 0.21 0.12 1.48 0.00
 -------- 01:00 0.05 ---- 0.15 0.14 1.52 0.00
 -------- 02:00 0.04 ---- 0.15 0.12 1.48 0.00
 16.10.12 03:00 0.04 ---- 0.13 0.13 1.49 0.00
 -------- 04:00 0.04 ---- 0.17 0.09 1.49 0.00
 -------- 05:00 0.05 ---- 0.16 0.09 1.49 0.00
 -------- 06:00 0.06 ---- 0.14 0.12 1.50 0.01
 -------- 07:00 0.04 ---- 0.15 0.10 1.50 0.01
 16.10.12 08:00 0.04 ---- 0.11 0.13 1.52 0.02
 -------- 09:00 0.03 ---- 0.09 0.15 1.53 0.03
 -------- 10:00 0.02 ---- 0.10 0.13 1.51 0.02
 -------- 11:00 0.02 ---- 0.09 0.13 1.51 0.02
 -------- 12:00 0.02 ---- 0.09 0.13 1.51 0.02
 16.10.12 13:00 0.02 ---- 0.08 0.14 1.52 0.03
 -------- 14:00 0.03 ---- 0.05 0.16 1.53 0.04
 -------- 15:00 0.02 ---- 0.06 0.15 1.52 0.04
 -------- 16:00 0.02 ---- 0.05 0.15 1.51 0.04
 -------- 17:00 0.03 ---- 0.06 0.14 1.51 0.03
 16.10.12 18:00 0.04 ---- 0.04 0.16 1.53 0.03
 -------- 19:00 0.04 ---- 0.04 0.15 1.52 0.03
 -------- 20:00 0.06 ---- 0.05 0.14 1.51 0.02
 -------- 21:00 0.07 ---- 0.04 0.14 1.52 0.02
 -------- 22:00 0.06 ---- 0.03 0.14 1.53 0.02
 16.10.12 23:00 0.06 ---- 0.02 0.14 1.53 0.03
 -------- 00:00 0.06 ---- 0.01 0.15 1.53 0.03
 -------- 01:00 0.05 ---- 0.01 0.14 1.55 0.03
 -------- 02:00 0.04 ---- 0.01 0.13 1.54 0.02
 -------- 03:00 0.04 ---- 0.01 0.13 1.57 0.02
 17.10.12 04:00 0.04 ---- 0.01 0.13 1.56 0.02
 -------- 05:00 0.04 ---- 0.01 0.12 1.56 0.03
 -------- 06:00 0.06 ---- 0.01 0.12 1.58 0.06
 -------- 07:00 0.05 ---- 0.01 0.12 1.58 0.09
 -------- 08:00 0.08 ---- 0.01 0.12 1.62 0.10
 17.10.12 09:00 0.08 ---- 0.01 0.11 1.60 0.10
 -------- 10:00 0.06 ---- 0.01 0.10 1.60 0.09
 -------- 11:00 0.06 ---- 0.01 0.09 1.59 0.08
