 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 20.01.13 12:00 0.19 0.16 0.29 0.04 0.26 2.92 0.39 0.16
 -------- 13:00 0.18 0.14 0.33 0.04 0.25 2.78 0.37 0.15
 -------- 14:00 0.19 0.09 0.25 0.04 0.26 2.64 0.39 0.16
 -------- 15:00 0.19 0.07 0.19 0.03 0.27 2.35 0.39 0.16
 -------- 16:00 0.19 0.04 0.12 0.03 0.28 2.39 0.37 0.19
 20.01.13 17:00 0.19 0.03 0.12 0.02 0.28 2.25 0.39 0.18
 -------- 18:00 0.19 0.03 0.12 0.01 0.27 2.47 0.36 0.18
 -------- 19:00 0.17 0.03 0.12 0.01 0.27 2.57 0.34 0.15
 -------- 20:00 0.15 0.02 ---- 0.01 0.26 2.36 0.30 0.13
 -------- 21:00 0.11 0.03 0.12 0.01 0.27 2.01 0.21 0.10
 20.01.13 22:00 0.09 0.03 0.17 0.01 0.27 1.93 0.13 0.07
 -------- 23:00 0.08 0.03 0.21 0.01 0.27 1.96 0.11 0.06
 -------- 00:00 0.08 0.03 0.33 0.01 0.26 2.09 0.10 0.07
 -------- 01:00 0.07 0.03 0.71 0.01 0.26 2.16 0.09 0.08
 -------- 02:00 0.06 0.03 0.67 0.01 0.26 2.06 0.09 0.07
 21.01.13 03:00 0.06 0.03 0.46 0.01 0.26 2.13 0.08 0.07
 -------- 04:00 0.06 0.03 0.42 0.01 0.25 2.15 0.09 0.07
 -------- 05:00 0.07 0.03 0.50 0.01 0.24 1.93 0.14 0.06
 -------- 06:00 0.08 0.03 0.50 0.01 0.24 1.93 0.13 0.06
 -------- 07:00 0.13 0.03 0.50 0.01 0.22 1.92 0.14 0.08
 21.01.13 08:00 0.17 0.04 0.67 0.01 0.20 1.99 0.26 0.09
 -------- 09:00 0.20 0.04 0.62 0.01 0.18 1.99 0.37 0.10
 -------- 10:00 0.19 0.04 0.67 0.01 0.18 2.03 0.37 0.09
 -------- 11:00 0.19 0.04 0.62 0.03 0.19 2.02 0.34 0.10
 -------- 12:00 0.17 0.04 0.75 0.04 0.18 1.98 0.26 0.08
 21.01.13 13:00 0.13 0.04 0.71 0.06 0.15 1.80 0.19 0.06
 -------- 14:00 0.12 0.03 0.75 0.07 0.15 1.77 0.16 0.06
 -------- 15:00 0.13 0.03 0.71 0.07 0.17 1.73 0.15 0.07
 -------- 16:00 0.12 0.04 0.71 0.06 0.20 1.70 0.13 0.07
 -------- 17:00 0.12 0.04 0.71 0.04 0.24 2.10 0.11 0.06
 21.01.13 18:00 0.12 0.03 0.62 0.01 0.27 2.22 0.10 0.06
 -------- 19:00 0.11 0.03 0.58 0.01 0.29 1.74 0.10 0.06
 -------- 20:00 0.10 0.03 0.50 0.04 0.33 1.61 0.04 0.05
 -------- 21:00 0.10 0.03 0.50 0.03 0.35 1.62 0.05 0.05
 -------- 22:00 0.11 0.03 0.50 0.02 0.35 1.64 0.06 0.05
 21.01.13 23:00 0.08 0.03 0.38 0.07 0.32 1.59 0.02 0.04
 -------- 00:00 0.08 0.02 0.25 0.04 0.33 1.60 0.03 0.04
 -------- 01:00 0.06 0.02 ---- 0.05 0.34 1.59 0.03 0.03
 -------- 02:00 0.05 0.02 ---- 0.14 0.28 1.58 0.01 0.03
 -------- 03:00 0.04 0.01 ---- 0.11 0.30 1.60 0.02 0.02
 22.01.13 04:00 0.04 0.01 ---- 0.16 0.28 1.61 0.01 0.02
 -------- 05:00 0.04 0.01 ---- 0.18 0.27 1.56 0.01 0.02
 -------- 06:00 0.06 0.01 ---- 0.06 0.35 1.59 0.03 0.02
 -------- 07:00 0.03 0.00 ---- 0.02 0.37 1.62 0.07 0.04
 -------- 08:00 0.05 0.00 ---- 0.01 0.37 1.63 0.10 0.04
 22.01.13 09:00 0.06 ---- ---- 0.01 0.36 1.65 0.13 0.05
 -------- 10:00 0.06 ---- ---- 0.03 0.32 1.74 0.18 0.05
 -------- 11:00 0.06 ---- ---- 0.07 0.28 1.64 0.18 0.06
