 Date Time CO H2S OZ NO2 CHX NO
 16.11.12 00:00 0.04 0.38 0.17 0.08 1.50 0.00
 -------- 01:00 0.04 0.33 0.18 0.07 1.50 0.00
 -------- 02:00 0.05 0.29 0.20 0.06 1.49 0.00
 -------- 03:00 0.06 0.38 0.20 0.06 1.50 0.00
 -------- 04:00 0.06 0.42 0.19 0.09 1.52 0.00
 16.11.12 05:00 0.06 0.25 0.22 0.11 1.48 0.00
 -------- 06:00 0.06 0.25 0.21 0.13 1.49 0.00
 -------- 07:00 0.03 0.29 0.19 0.16 1.50 0.01
 -------- 08:00 0.02 0.25 0.18 0.17 1.54 0.01
 -------- 09:00 0.02 0.29 0.16 0.20 1.54 0.02
 16.11.12 10:00 0.03 0.50 0.11 0.23 1.57 0.03
 -------- 11:00 0.03 0.46 0.09 0.24 1.58 0.03
 -------- 12:00 0.02 0.29 0.12 0.18 1.54 0.02
 -------- 13:00 0.02 0.25 0.14 0.19 1.53 0.03
 -------- 14:00 0.03 0.25 0.11 0.20 1.54 0.04
 16.11.12 15:00 0.03 0.29 0.13 0.21 1.54 0.04
 -------- 16:00 0.03 0.25 0.17 0.18 1.53 0.02
 -------- 17:00 0.04 0.25 0.14 0.19 1.54 0.01
 -------- 18:00 0.04 0.33 0.11 0.21 1.58 0.01
 -------- 19:00 0.05 0.33 0.11 0.20 1.57 0.01
 16.11.12 20:00 0.06 0.50 0.10 0.21 1.62 0.01
 -------- 21:00 0.06 0.50 0.07 0.23 1.62 0.01
 -------- 22:00 0.05 0.46 0.06 0.23 1.62 0.01
 -------- 23:00 0.04 0.50 0.08 0.21 1.62 0.01
 -------- 00:00 0.04 0.50 0.09 0.20 1.62 0.01
 17.11.12 01:00 0.04 0.62 0.11 0.19 1.62 0.01
 -------- 02:00 0.04 0.62 0.12 0.17 1.60 0.01
 -------- 03:00 0.03 0.50 0.13 0.15 1.58 0.00
 -------- 04:00 0.02 0.38 0.13 0.13 1.57 0.00
 -------- 05:00 0.02 0.25 0.10 0.15 1.58 0.01
 17.11.12 06:00 0.02 0.46 0.15 0.14 1.59 0.00
 -------- 07:00 0.02 0.29 0.15 0.15 1.57 0.01
 -------- 08:00 0.02 0.42 0.12 0.19 1.59 0.02
 -------- 09:00 0.04 0.29 0.03 0.27 1.61 0.07
 -------- 10:00 0.04 0.50 0.03 0.30 1.61 0.11
 17.11.12 11:00 0.04 0.42 0.05 0.25 1.63 0.07
 -------- 12:00 0.04 0.42 0.07 0.21 1.63 0.03
 -------- 13:00 0.04 0.46 0.06 0.26 1.61 0.08
 -------- 14:00 0.04 0.38 0.05 0.22 1.58 0.06
 -------- 15:00 0.04 0.21 0.05 0.21 1.57 0.04
 17.11.12 16:00 0.05 0.17 0.04 0.22 1.57 0.02
 -------- 17:00 0.04 0.12 0.02 0.23 1.57 0.02
 -------- 18:00 0.05 0.17 0.01 0.24 1.61 0.03
 -------- 19:00 0.07 0.17 ---- 0.25 1.62 0.04
 -------- 20:00 0.07 0.21 0.01 0.24 1.62 0.03
 17.11.12 21:00 0.05 0.12 0.02 0.24 1.60 0.02
 -------- 22:00 0.06 0.12 ---- 0.24 1.66 0.03
 -------- 23:00 0.06 0.12 ---- 0.25 1.64 0.03
