 Date Time CO H2S OZ NO2 CHX NO PM10
 08.12.12 00:00 0.07 0.38 0.01 0.17 1.72 0.05 ----
 -------- 01:00 0.06 0.33 0.01 0.17 1.77 0.04 ----
 -------- 02:00 0.06 0.25 0.04 0.17 1.92 0.02 ----
 -------- 03:00 0.07 0.21 0.02 0.19 1.91 0.02 ----
 -------- 04:00 0.06 0.12 0.02 0.18 1.79 0.02 ----
 08.12.12 05:00 0.06 ---- 0.02 0.17 1.71 0.02 ----
 -------- 06:00 0.06 ---- 0.02 0.16 1.69 0.02 ----
 -------- 07:00 0.07 ---- 0.01 0.17 1.79 0.05 ----
 -------- 08:00 0.09 ---- 0.01 0.16 1.81 0.10 ----
 -------- 09:00 0.10 0.12 0.01 0.15 1.90 0.11 ----
 08.12.12 10:00 0.10 ---- 0.01 0.15 1.97 0.13 ----
 -------- 11:00 0.11 ---- 0.02 0.14 1.92 0.15 ----
 -------- 12:00 0.11 0.38 0.03 0.12 1.94 0.17 ----
 -------- 13:00 0.10 ---- 0.03 0.11 1.68 0.14 ----
 -------- 14:00 0.09 0.12 0.04 0.11 1.66 0.09 ----
 08.12.12 15:00 0.09 0.12 0.03 0.11 1.66 0.10 ----
 -------- 16:00 0.09 0.21 0.03 0.12 1.68 0.10 ----
 -------- 17:00 0.11 0.25 0.01 0.12 1.73 0.13 ----
 -------- 18:00 0.11 0.38 0.01 0.13 1.74 0.13 ----
 -------- 19:00 0.09 0.33 0.01 0.13 1.72 0.12 ----
 08.12.12 20:00 0.08 0.38 0.01 0.15 1.70 0.07 ----
 -------- 21:00 0.10 0.25 0.01 0.14 1.71 0.10 ----
 -------- 22:00 0.08 0.25 0.01 0.14 1.70 0.09 ----
 -------- 23:00 0.10 0.17 0.01 0.12 1.71 0.11 ----
 -------- 00:00 0.09 0.19 0.01 0.10 1.73 0.14 ----
 09.12.12 01:00 0.13 0.17 0.01 0.08 1.82 0.25 ----
 -------- 02:00 0.15 0.62 ---- 0.05 2.27 0.34 ----
 -------- 03:00 0.13 0.50 0.01 0.08 2.60 0.24 ----
 -------- 04:00 0.13 0.58 ---- 0.07 2.41 0.23 ----
 -------- 05:00 0.13 0.42 ---- 0.07 2.30 0.28 ----
 09.12.12 06:00 0.14 0.33 0.01 0.06 2.08 0.34 ----
 -------- 07:00 0.09 0.21 0.01 0.09 1.95 0.25 ----
 -------- 08:00 0.09 0.12 0.01 0.10 1.89 0.21 ----
 -------- 09:00 0.07 ---- 0.01 0.10 1.75 0.15 ----
 -------- 10:00 0.06 ---- 0.01 0.14 1.70 0.07 ----
 09.12.12 11:00 0.06 ---- 0.04 0.17 1.67 0.06 ----
 -------- 12:00 0.07 ---- 0.07 0.17 1.61 0.07 ----
 -------- 13:00 0.06 ---- 0.11 0.16 1.59 0.05 ----
 -------- 14:00 0.05 ---- 0.12 0.17 1.59 0.05 ----
 -------- 15:00 0.04 ---- 0.15 0.17 1.56 0.03 ----
 09.12.12 16:00 0.04 ---- 0.15 0.18 1.54 0.02 ----
 -------- 17:00 0.06 ---- 0.07 0.24 1.58 0.03 ----
 -------- 18:00 0.08 ---- 0.02 0.26 1.61 0.10 ----
 -------- 19:00 0.07 ---- 0.02 0.26 1.62 0.11 ----
 -------- 20:00 0.08 ---- 0.02 0.25 1.60 0.07 ----
 09.12.12 21:00 0.12 ---- 0.01 0.21 1.71 0.21 ----
 -------- 22:00 0.23 ---- 0.01 0.10 1.99 0.50 ----
 -------- 23:00 0.25 ---- 0.01 0.07 2.09 0.62 ----
